"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","121건","","166,778","","",""
"1","빵류(파이)","오사카부","2014-04-16","44.35","불검출","불검출","적합"
"2","볶은커피","시즈오카현","2013-12-23","2,400","불검출","불검출","적합"
"3","볶은커피","시즈오카현","2014-01-09","2,400","불검출","불검출","적합"
"4","볶은커피","사이타마현","2014-05-14","600","불검출","불검출","적합"
"5","소스류","히로시마현","2014-04-29","504","불검출","불검출","적합"
"6","고형차","교토부","2014-05-23","1,000","불검출","불검출","적합"
"7","소스류","가나가와현","2014-05-07","821","불검출","불검출","적합"
"8","소스류","가나가와현","2014-05-13","279","불검출","불검출","적합"
"9","소스류","가나가와현","2014-05-09","283.5","불검출","불검출","적합"
"10","소스류","가나가와현","2014-05-12","278.4","불검출","불검출","적합"
"11","소스류","가나가와현","2014-05-12","279.3","불검출","불검출","적합"
"12","볶은커피","시즈오카현","2014-04-12","30.72","불검출","불검출","적합"
"13","소스류","가나가와현","2014-05-13","261.68","불검출","불검출","적합"
"14","볶은커피","아이치현","2014-05-21","2,000","불검출","불검출","적합"
"15","볶은커피","사이타마현","2014-04-15","250","불검출","불검출","적합"
"16","청주","돗토리현","2014-05-26","144","불검출","불검출","적합"
"17","청주","돗토리현","2014-05-26","432","불검출","불검출","적합"
"18","청주","돗토리현","2014-05-26","172.8","불검출","불검출","적합"
