"품목","계","","농산물","","가공식품","","건강기능식품","","식품첨가물",""
"접수
일자","건수 중량(㎏) 건수 중량(㎏) 건수 중량(㎏) 건수 중량(㎏) 건수 중량(㎏)","","","","","","","","",""
"합계","","253  1,185,936","0","0","","186  1,109,929","2","213","65","75,794"
"6.16","141","916,708","0","0","101","864,090","0","0","40","52,618"
"6.17","112","269,228","0","0","85","245,839","2","213","25","23,176"
"6.18","","","","","","","","","",""
"6.19","","","","","","","","","",""
"6.20","","","","","","","","","",""
