"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","112건","","269,228","","",""
"1","스피루리나 제품","기후현","2014-05-05","105.4","불검출","불검출","적합"
"2","소스류","히로시마현","2014-05-10","488.64","불검출","불검출","적합"
"3","소스류","히로시마현","2014-05-19","2,520","불검출","불검출","적합"
"4","소스류","히로시마현","2014-05-07","2,070","불검출","불검출","적합"
"5","소스류","히로시마현","2014-05-08","1,320","불검출","불검출","적합"
"6","곡류가공품","시즈오카현","2014-04-21","1,000","불검출","불검출","적합"
"7","소스류","히로시마현","2014-04-29","1,223.4","불검출","불검출","적합"
"8","소스류","히로시마현","2014-04-17","630","불검출","불검출","적합"
"9","소스류","히로시마현","2014-05-20","660","불검출","불검출","적합"
"10","소스류","히로시마현","2014-04-21","566.4","불검출","불검출","적합"
"11","소스류","히로시마현","2014-05-12","264","불검출","불검출","적합"
"12","곡류가공품","지바현","2014-04-04","90","불검출","불검출","적합"
"13","소스류","히로시마현","2014-04-26","303.84","불검출","불검출","적합"
"14","소스류","나가사키현","2014-05-15","5,016","불검출","불검출","적합"
"15","드레싱","나가사키현","2014-05-14","1,363.72","불검출","불검출","적합"
"16","소스류","나가사키현","2014-05-10","1,224.08","불검출","불검출","적합"
"17","소스류","나가사키현","2014-05-01","3,690","불검출","불검출","적합"
"18","소스류","나가사키현","2014-05-07","2,586.22","불검출","불검출","적합"
