"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","20건","-","-","62,240","-","-","-"
"1","활가리비","홋카이도","2015-6-24","7,000","불검출","불검출","적합"
"2","활가리비","홋카이도","2015-6-24","6,500","불검출","불검출","적합"
"3","냉장명태","홋카이도","2015-6-24","1,668","불검출","불검출","적합"
"4","냉장홍어","홋카이도","2015-6-24","6,863","불검출","불검출","적합"
"5","냉장명태","홋카이도","2015-6-24","2,300","불검출","불검출","적합"
"6","활가리비","홋카이도","2015-6-24","11,694","불검출","불검출","적합"
"7","냉장명태","홋카이도","2015-6-24","2,412","불검출","불검출","적합"
"8","냉장갈치","오이타현","2015-6-24","2,055","불검출","불검출","적합"
"9","냉장갈치","히로시마현","2015-6-24","275","불검출","불검출","적합"
"10","활가리비","홋카이도","2015-6-24","13,515","불검출","불검출","적합"
"11","냉장갈치","오이타현","2015-6-24","955","불검출","불검출","적합"
"12","냉장갈치","야마구치현","2015-6-24","505","불검출","불검출","적합"
"13","냉장민어(수조기)","야마구치현","2015-6-24","69","불검출","불검출","적합"
"14","냉장돔(황돔)","후쿠오카현","2015-6-24","120","불검출","불검출","적합"
"15","냉장명태","홋카이도","2015-6-24","2,388","불검출","불검출","적합"
"16","냉장홍어","홋카이도","2015-6-24","419","불검출","불검출","적합"
"17","냉장명태","홋카이도","2015-6-24","2,376","불검출","불검출","적합"
"18","냉장준치","구마모토현","2015-6-24","378","불검출","불검출","적합"
"19","냉장갈치","에히메현","2015-6-24","240","불검출","불검출","적합"
"20","활돔(벵에돔)","오이타현","2015-6-24","508","불검출","불검출","적합"
