"품목","계","","농산물","","가공식품","","건강기능식품","","식품첨가물",""
"처리
일자","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏) 건수","","중량(㎏)",""
"합계","422","1,356,927","4","43,060","338","1,249,272","0","0","80","64,595"
"2.11","107","324,724","0","0","83","303,928","0","0","24","20,796"
"2.12","125","290,971","0","0","118","288,018","0","0","7","2,953"
"2.13","190","741,232","4","43,060","137","657,326","0","0","49","40,846"
"","","","","","","","","","",""
"","","","","","","","","","",""
