"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 125건","","","","290,971","","",""
"1","곡류가공품","아이치현","2019-01-16","63","불검출","불검출","적합"
"2","절임식품","나가노현","2018-12-24","1,050","불검출","불검출","적합"
"3","캔디류","아이치현","2019-01-11","553","불검출","불검출","적합"
"4","빵류","도치기현","2018-12-22","443","불검출","불검출","적합"
"5","빵류","도치기현","2018-12-24","524","불검출","불검출","적합"
"6","청주","니가타현","2018-12-26","135","불검출","불검출","적합"
"7","청주","니가타현","2018-12-25","432","불검출","불검출","적합"
"8","청주","니가타현","2018-12-26","43","불검출","불검출","적합"
"9","청주","니가타현","2018-12-24","259","불검출","불검출","적합"
"10","청주","도치기현","2018-07-11","259","불검출","불검출","적합"
"11","청주","야마가타현","2018-12-22","173","불검출","불검출","적합"
"12","소주","가고시마현","2018-12-11","86","불검출","불검출","적합"
"13","기타잼","오키나와현","2018-12-11","18","불검출","불검출","적합"
"14","당류가공품","오키나와현","2019-01-17","304","불검출","불검출","적합"
