"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","92건","","192,849","","",""
"1","카레","시즈오카현","2014-05-29","345","불검출","불검출","적합"
"2","볶은커피","시즈오카현","2014-07-07","30.72","불검출","불검출","적합"
"3","볶은커피","시즈오카현","2014-07-22","28.8","불검출","불검출","적합"
"4","볶은커피","사이타마현","2014-07-01","500","불검출","불검출","적합"
"5","청주","훗카이도","2014-06-26","86.4","불검출","불검출","적합"
"6","볶은커피","시즈오카현","2014-07-02","1,746","불검출","불검출","적합"
"7","볶은커피","사이타마현","2014-07-07","48","불검출","불검출","적합"
"8","청주","효고현","2014-06-26","1,200","불검출","불검출","적합"
"9","청주","효고현","2014-06-03","540","불검출","불검출","적합"
"10","청주","효고현","2014-07-11","432","불검출","불검출","적합"
"11","청주","효고현","2014-07-01","216","불검출","불검출","적합"
"12","청주","효고현","2014-06-26","108","불검출","불검출","적합"
"13","청주","효고현","2014-06-12","108","불검출","불검출","적합"
"14","리큐르","도치기현","2014-04-04","168","불검출","불검출","적합"
"15","리큐르","도치기현","2014-05-30","672","불검출","불검출","적합"
"16","리큐르","도치기현","2014-06-27","336","불검출","불검출","적합"
"17","심황색소(울금색소)","오사카부","2013-08-09","50","불검출","불검출","적합"
"18","무기질","이와테현","2014-07-29","70","불검출","불검출","적합"
"19","탄산음료","오이타현","2014-05-29","210","불검출","불검출","적합"
