"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 145건","","","","418,006","","",""
"1","혼합제제","오카야마현","2018-07-02","150","불검출","불검출","적합"
"2","혼합제제","효고현","2018-07-03","204","불검출","불검출","적합"
"3","혼합제제","효고현","2018-06-29","17","불검출","불검출","적합"
"4","혼합제제","효고현","2018-06-29","17","불검출","불검출","적합"
"5","혼합제제","효고현","2018-06-29","17","불검출","불검출","적합"
"6","혼합제제","효고현","2018-07-03","34","불검출","불검출","적합"
"7","혼합제제","효고현","2018-06-27","34","불검출","불검출","적합"
"8","혼합제제","효고현","2018-06-26","306","불검출","불검출","적합"
"9","맥주","교토부","2018-07-01","23,398","불검출","불검출","적합"
"10","소스","후쿠오카현","2018-07-02","9,000","불검출","불검출","적합"
"11","즉석조리식품","기후현","2018-02-28","90","불검출","불검출","적합"
"12","맥주","후쿠오카현","2018-06-30","19,920","불검출","불검출","적합"
"13","혼합제제","오카야마현","2018-06-22","200","불검출","불검출","적합"
"14","혼합제제","사이타마현","2018-07-02","300","불검출","불검출","적합"
"15","소스","사가현","2018-06-28","1,967","불검출","불검출","적합"
