"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 143건","","","","503,816","","",""
"1","볶은커피","가나가와현","2019-02-07","403","불검출","불검출","적합"
"2","볶은커피","사이타마현","2019-01-08","402","불검출","불검출","적합"
"3","볶은커피","효고현","2019-02-24","151","불검출","불검출","적합"
"4","볶은커피","효고현","2019-02-20","151","불검출","불검출","적합"
"5","볶은커피","효고현","2019-02-10","605","불검출","불검출","적합"
"6","볶은커피","가나가와현","2019-02-11","403","불검출","불검출","적합"
"7","볶은커피","효고현","2019-02-25","3,660","불검출","불검출","적합"
"8","빵류","사이타마현","2019-02-15","2,310","불검출","불검출","적합"
"9","혼합제제","이바라키현","2019-02-05","800","불검출","불검출","적합"
"10","과·채가공품","오카야마현","2018-12-25","9,600","불검출","불검출","적합"
"11","고형차","미에현","2019-02-26","54","불검출","불검출","적합"
"12","당절임","와카야마현","2018-09-30","60","불검출","불검출","적합"
"13","혼합제제","사이타마현","2019-01-28","612","불검출","불검출","적합"
"14","과자","고치현","2019-01-17","110","불검출","불검출","적합"
