"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","12건","-","-","2,025,115","-","-","-"
"1","냉동다랑어(눈다랑어,목살) 대만","","2014-10-31","60","불검출","불검출","적합"
"2","냉동대구(목살)","러시아","2014-10-31","17,051","불검출","불검출","적합"
"3","냉동고등어","미국","2014-10-31","23,520","불검출","불검출","적합"
"4","냉동명태","러시아","2014-10-31","529,137","불검출","불검출","적합"
"5","냉동가자미","러시아","2014-10-31","3,333","불검출","불검출","적합"
"6","냉동꽁치","대만","2014-10-31","100,453","불검출","불검출","적합"
"7","냉동대구(목살)","러시아","2014-10-31","5,580","불검출","불검출","적합"
"8","냉동명태","러시아","2014-10-31","1,051,243","불검출","불검출","적합"
"9","냉동가자미","러시아","2014-10-31","5,956","불검출","불검출","적합"
"10","냉동꽁치","대만","2014-10-31","173,138","불검출","불검출","적합"
"11","냉동꽁치","대만","2014-10-31","93,324","불검출","불검출","적합"
"12","냉동가자미(각시가자미) 러시아","","2014-10-31","22,320","불검출","불검출","적합"
