"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","108건","","159,777.5
7","","",""
"1","침출차","후쿠오카현","2014-11-04","20.1","불검출","불검출","적합"
"2","침출차","후쿠오카현","2014-09-27","28.2","불검출","불검출","적합"
"3","청국장","교토부","2014-10-25","230.4","불검출","불검출","적합"
"4","혼합제제","나가노현","2014-11-14","500","불검출","불검출","적합"
"5","당류가공품","ETC","2014-09-24","122","불검출","불검출","적합"
"6","소스류","오사카부","2014-11-04","248.4","불검출","불검출","적합"
"7","소스류","나가사키현","2014-11-04","2,420","불검출","불검출","적합"
"8","볶은커피","히로시마현","2014-11-17","86.4","불검출","불검출","적합"
"9","볶은커피","히로시마현","2014-11-17","48","불검출","불검출","적합"
"10","볶은커피","히로시마현","2014-11-17","72","불검출","불검출","적합"
"11","볶은커피","히로시마현","2014-11-17","48","불검출","불검출","적합"
"12","볶은커피","히로시마현","2014-11-17","48","불검출","불검출","적합"
"13","볶은커피","히로시마현","2014-11-17","72","불검출","불검출","적합"
"14","볶은커피","히로시마현","2014-11-17","43.2","불검출","불검출","적합"
"15","볶은커피","히로시마현","2014-11-17","24","불검출","불검출","적합"
"16","볶은커피","히로시마현","2014-11-17","21.6","불검출","불검출","적합"
