"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 133건","","","","814,976","","",""
"1","맥주","후쿠오카현","2018-04-16","9,960","불검출","불검출","적합"
"2","맥주","후쿠오카현","2018-04-20","103,358","불검출","불검출","적합"
"3","어묵","나가사키현","2018-03-27","60","불검출","불검출","적합"
"4","어묵","나가사키현","2018-03-27","60","불검출","불검출","적합"
"5","소스","에히메현","2018-04-24","3,600","불검출","불검출","적합"
"6","소스","에히메현","2018-04-05","3,600","불검출","불검출","적합"
"7","소스","에히메현","2018-04-28","1,980","불검출","불검출","적합"
"8","건면","구마모토현","2018-04-11","380","불검출","불검출","적합"
"9","건면","구마모토현","2018-04-06","1,260","불검출","불검출","적합"
"10","혼합제제","와카야마현","2018-02-21","500","불검출","불검출","적합"
"11","건면","후쿠시마현","2018-04-11","824","불검출","불검출","적합"
"12","건면","후쿠시마현","2018-04-11","1,439","불검출","불검출","적합"
"13","건면","후쿠시마현","2018-04-11","1,079","불검출","불검출","적합"
