"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","12건","-","-","33,304","-","-","-"
"1","냉동상어(청상아리,F)","시즈오카현","2015-6-19","3,388","불검출","불검출","적합"
"2","냉동기름치","대서양","2015-6-19","8,598","불검출","불검출","적합"
"3","냉장갈치","오이타현","2015-6-19","280","불검출","불검출","적합"
"4","활가리비","홋카이도","2015-6-19","7,192","불검출","불검출","적합"
"5","냉장갈치","히로시마현","2015-6-19","105","불검출","불검출","적합"
"6","활꼬막(새꼬막)","사가현","2015-6-19","2,600","불검출","불검출","적합"
"7","냉장명태","홋카이도","2015-6-19","2,220","불검출","불검출","적합"
"8","냉장홍어","홋카이도","2015-6-19","2,212","불검출","불검출","적합"
"9","냉장명태","홋카이도","2015-6-19","2,988","불검출","불검출","적합"
"10","냉장홍어","홋카이도","2015-6-19","593","불검출","불검출","적합"
"11","냉장명태","홋카이도","2015-6-19","3,000","불검출","불검출","적합"
"12","냉장다랑어(참다랑어)","나가사키현","2015-6-19","128","불검출","불검출","적합"
