"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"17","냉장홍어","홋카이도","2017-01-19","703","불검출","불검출","적합"
"18","냉장명태","홋카이도","2017-01-19","4,830","불검출","불검출","적합"
"19","냉장명태","홋카이도","2017-01-19","6,730","불검출","불검출","적합"
"20","냉장명태","홋카이도","2017-01-19","4,840","불검출","불검출","적합"
"21","냉장홍어","홋카이도","2017-01-19","203","불검출","불검출","적합"
"22","냉장명태","홋카이도","2017-01-19","1,200","불검출","불검출","적합"
"23","냉장대구","홋카이도","2017-01-19","4,000","불검출","불검출","적합"
"24","냉장명태","홋카이도","2017-01-19","4,200","불검출","불검출","적합"
"25","냉장대구","홋카이도","2017-01-19","1,930","불검출","불검출","적합"
"26","냉장돔(참돔)","나가사키현","2017-01-19","376","불검출","불검출","적합"
"27","냉장돔(참돔)","야마구치현","2017-01-19","750","불검출","불검출","적합"
"28","냉장돔(황돔)","야마구치현","2017-01-19","380","불검출","불검출","적합"
"29","활우렁쉥이","홋카이도","2017-01-19","4,772","불검출","불검출","적합"
"30","활우렁쉥이","홋카이도","2017-01-19","4,073","불검출","불검출","적합"
"31","냉장명태","홋카이도","2017-01-19","4,355","불검출","불검출","적합"
"32","냉장대구","홋카이도","2017-01-19","5,400","불검출","불검출","적합"
"33","냉장돔(참돔)","야마구치현","2017-01-19","40","불검출","불검출","적합"
"34","냉장홍어","홋카이도","2017-01-19","3,310","불검출","불검출","적합"
