"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","157,194","-","-","-"
"1","활돔(참돔)","에히메현","2017-01-17","4,555","불검출","불검출","적합"
"2","활방어","에히메현","2017-01-17","1,542","불검출","불검출","적합"
"3","활돔(참돔)","에히메현","2017-01-17","14,056","불검출","불검출","적합"
"4","활방어","에히메현","2017-01-17","3,041","불검출","불검출","적합"
"5","활가리비","홋카이도","2017-01-17","8,000","불검출","불검출","적합"
"6","활우렁쉥이","홋카이도","2017-01-17","8,000","불검출","불검출","적합"
"7","활우렁쉥이","홋카이도","2017-01-17","8,000","불검출","불검출","적합"
"8","활돔(강담돔)","에히메현","2017-01-17","522","불검출","불검출","적합"
"9","냉장돔(황돔)","야마구치현","2017-01-17","289","불검출","불검출","적합"
"10","냉장홍어","야마구치현","2017-01-17","160","불검출","불검출","적합"
"11","냉장홍어","홋카이도","2017-01-17","2,376","불검출","불검출","적합"
"12","냉장명태","홋카이도","2017-01-17","6,904","불검출","불검출","적합"
"13","냉장홍어","홋카이도","2017-01-17","6,662","불검출","불검출","적합"
"14","냉장갈치","효고현","2017-01-17","896","불검출","불검출","적합"
"15","냉장돔(참돔)","야마구치현","2017-01-17","220","불검출","불검출","적합"
"16","냉장홍어","홋카이도","2017-01-17","2,113","불검출","불검출","적합"
