"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","841,576","-","-","-"
"1","냉동꽁치","대만","2017-01-19","157,975","불검출","불검출","적합"
"2","냉동꽁치","대만","2017-01-19","79,895","불검출","불검출","적합"
"3","냉동상어(귀상어)","대만","2017-01-19","5,087","불검출","불검출","적합"
"4","냉동명태(F)","러시아","2017-01-19","20,000","불검출","불검출","적합"
"5","냉동꽁치","대만","2017-01-19","114,660","불검출","불검출","적합"
"6","냉동꽁치","대만","2017-01-19","22,460","불검출","불검출","적합"
"7","냉동꽁치","대만","2017-01-19","68,870","불검출","불검출","적합"
"8","냉동명태","러시아","2017-01-19","301,000","불검출","불검출","적합"
"9","냉동곤이(명태)","러시아","2017-01-19","3,758","불검출","불검출","적합"
"10","냉동어란(명란)","러시아","2017-01-19","1,871","불검출","불검출","적합"
"11","냉동명태(F)","러시아","2017-01-19","21,500","불검출","불검출","적합"
"12","냉동가자미
(각시가자미)","러시아","2017-01-19","22,500","불검출","불검출","적합"
"13","냉동가자미
(각시가자미)","러시아","2017-01-19","22,000","불검출","불검출","적합"
