"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 224건","","","","824,082","","",""
"1","소스","교토부","2019-05-08","50","불검출","불검출","적합"
"2","소스","교토부","2019-05-14","50","불검출","불검출","적합"
"3","발효식초","도치기현","2019-04-16","6,009","불검출","불검출","적합"
"4","소스","군마현","2019-04-23","2,822","불검출","불검출","적합"
"5","소스","군마현","2019-04-24","1,271","불검출","불검출","적합"
"6","소주","가고시마현","2019-05-14","108","불검출","불검출","적합"
"7","청주","돗토리현","2019-05-17","130","불검출","불검출","적합"
"8","청주","돗토리현","2019-05-17","130","불검출","불검출","적합"
"9","소주","가고시마현","2019-02-20","43","불검출","불검출","적합"
"10","청주","아키타현","2019-05-20","9","불검출","불검출","적합"
"11","청주","후쿠이현","2019-05-02","4","불검출","불검출","적합"
"12","청주","나가노현","2019-05-02","43","불검출","불검출","적합"
"13","소스","나가사키현","2019-04-23","3,941","불검출","불검출","적합"
"14","소스","나가사키현","2019-05-23","2,959","불검출","불검출","적합"
"15","소스","나가사키현","2019-05-15","374","불검출","불검출","적합"
