"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 144건","","","","170,966","","",""
"1","기타가공품","니가타현","2019-04-24","900","불검출","불검출","적합"
"2","소스","가나가와현","2019-05-17","259","불검출","불검출","적합"
"3","소스","가나가와현","2019-05-16","1,248","불검출","불검출","적합"
"4","소스","가나가와현","2019-05-14","268","불검출","불검출","적합"
"5","소스","가나가와현","2019-05-17","456","불검출","불검출","적합"
"6","소스","가나가와현","2019-05-16","461","불검출","불검출","적합"
"7","소스","가나가와현","2019-05-14","277","불검출","불검출","적합"
"8","소스","가나가와현","2019-05-09","564","불검출","불검출","적합"
"9","소스","가나가와현","2019-05-16","407","불검출","불검출","적합"
"10","소스","가나가와현","2019-05-17","263","불검출","불검출","적합"
"11","소스","가나가와현","2019-05-17","268","불검출","불검출","적합"
"12","소스","가나가와현","2019-05-16","920","불검출","불검출","적합"
"13","소스","가나가와현","2019-05-16","982","불검출","불검출","적합"
"14","건면","후쿠오카현","2019-05-04","619","불검출","불검출","적합"
"15","유탕면","후쿠오카현","2019-04-10","475","불검출","불검출","적합"
