"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 136건","","","","290,637","","",""
"1","소스","미에현","2018-11-26","400","불검출","불검출","적합"
"2","혼합제제","도쿄도","2018-08-20","400","불검출","불검출","적합"
"3","청주","니가타현","2019-01-21","25,920","불검출","불검출","적합"
"4","청주","니가타현","2019-01-22","12,960","불검출","불검출","적합"
"5","청주","야마구치현","2019-01-08","173","불검출","불검출","적합"
"6","청주","야마구치현","2019-01-08","432","불검출","불검출","적합"
"7","청주","기후현","2019-01-21","54","불검출","불검출","적합"
"8","소스","히로시마현","2019-01-24","1,200","불검출","불검출","적합"
"9","소스","아이치현","2019-01-31","698","불검출","불검출","적합"
"10","과·채음료","후쿠오카현","2018-12-12","540","불검출","불검출","적합"
"11","청주","야마구치현","2019-01-07","518","불검출","불검출","적합"
"12","혼합제제","나가노현","2019-02-01","100","불검출","불검출","적합"
"13","빵류","아이치현","2019-01-22","130","불검출","불검출","적합"
"14","빵류","아이치현","2019-01-22","260","불검출","불검출","적합"
