"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","78건","","159,547","","",""
"1","고형차","교토부","2014-03-07","200","불검출","불검출","적합"
"2","소스류","가나가와현","2014-02-24","147.6","불검출","불검출","적합"
"3","소스류","가나가와현","2014-02-20","178.85","불검출","불검출","적합"
"4","소스류","가나가와현","2014-03-07","176.4","불검출","불검출","적합"
"5","소스류","가나가와현","2014-02-26","405","불검출","불검출","적합"
"6","소스류","가나가와현","2014-03-03","254.25","불검출","불검출","적합"
"7","소스류","가나가와현","2014-02-20","265.5","불검출","불검출","적합"
"8","소스류","가나가와현","2014-02-26","812","불검출","불검출","적합"
"9","소스류","히로시마현","2014-03-17","3,654","불검출","불검출","적합"
"10","혼합제제","오카야마현","2014-03-11","150","불검출","불검출","적합"
"11","소스류","히로시마현","2014-02-19","1,329","불검출","불검출","적합"
"12","자라유제품","도쿄도","2013-04-27","33","불검출","불검출","적합"
"13","건어포류","에히메현","2014-03-12","304","불검출","불검출","적합"
"14","혼합제제","사이타마현","2014-03-17","1,000","불검출","불검출","적합"
"15","소스류","후쿠오카현","2014-03-07","2,000","불검출","불검출","적합"
"16","소스류","후쿠오카현","2014-03-10","3,000","불검출","불검출","적합"
