"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","66건","","106,623","","",""
"1","수산물가공품","오사카부","2014-02-25","75","불검출","불검출","적합"
"2","혼합제제","오사카부","2014-02-26","300","불검출","불검출","적합"
"3","액상커피","시가현","2014-02-24","10,800","불검출","불검출","적합"
"4","소스류","히로시마현","2014-03-03","1,890","불검출","불검출","적합"
"5","소스류","히로시마현","2014-02-06","630","불검출","불검출","적합"
"6","소스류","히로시마현","2014-02-19","660","불검출","불검출","적합"
"7","소스류","히로시마현","2014-03-14","856.38","불검출","불검출","적합"
"8","소스류","히로시마현","2014-03-04","5,040","불검출","불검출","적합"
"9","소스류","히로시마현","2014-03-13","422.1","불검출","불검출","적합"
"10","청주","훗카이도","2014-02-13","43.2","불검출","불검출","적합"
"11","침출차","시즈오카현","2014-02-16","50","불검출","불검출","적합"
"12","기타천연착향료","오사카부","2014-03-20","95","불검출","불검출","적합"
"13","리큐르","와카야마현","2014-03-01","187.2","불검출","불검출","적합"
"14","향미유","시즈오카현","2014-01-14","210","불검출","불검출","적합"
"15","볶은커피","사이타마현","2014-02-24","600","불검출","불검출","적합"
"16","고형차","효고현","2014-03-14","500","불검출","불검출","적합"
