"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","19","-","-","25,608","-","-","-"
"1","활참돔","에히메현","2016-06-07","5,023","불검출","불검출","적합"
"2","냉동새우살","도야마현","2016-06-07","80","불검출","불검출","적합"
"3","냉장갈치","와카야마현","2016-06-07","976","불검출","불검출","적합"
"4","냉장홍어","홋카이도","2016-06-07","2,825","불검출","불검출","적합"
"5","냉장명태","홋카이도","2016-06-07","1,140","불검출","불검출","적합"
"6","냉장갈치","오이타현","2016-06-07","675","불검출","불검출","적합"
"7","냉장명태","홋카이도","2016-06-07","3,029","불검출","불검출","적합"
"8","활먹장어","나가사키현","2016-06-07","1,477","불검출","불검출","적합"
"9","냉장갈치","야마구치현","2016-06-07","405","불검출","불검출","적합"
"10","냉장갈치","오이타현","2016-06-07","245","불검출","불검출","적합"
"11","냉장갈치","에히메현","2016-06-07","190","불검출","불검출","적합"
"12","냉장갈치","에히메현","2016-06-07","80","불검출","불검출","적합"
"13","냉장준치","구마모토현","2016-06-07","35","불검출","불검출","적합"
"14","냉동눈다랑어(목살)","대서양","2016-06-07","1,820","불검출","불검출","적합"
"15","냉동청상아리(F)","인도양","2016-06-07","1,613","불검출","불검출","적합"
"16","냉동청상아리(F)","태평양","2016-06-07","5,201","불검출","불검출","적합"
"17","활돌돔","나가사키현","2016-06-07","350","불검출","불검출","적합"
"18","냉동눈다랑어(목살)","태평양","2016-06-07","46","불검출","불검출","적합"
"19","냉동눈다랑어(F,횟감)","태평양","2016-06-07","398","불검출","불검출","적합"
