"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉동가자미(까지가자미)","러시아","2019-08-06","21,267","불검출","불검출","적합"
"2","냉동명태(F)","러시아","2019-08-06","20,630","불검출","불검출","적합"
"3","냉동곤이(명태)","러시아","2019-08-06","2,070","불검출","불검출","적합"
"4","냉동꽁치","대만","2019-08-06","126,661","불검출","불검출","적합"
"5","냉동명태(F)","러시아","2019-08-06","23,250","불검출","불검출","적합"
"6","냉동명태(F)","러시아","2019-08-06","23,250","불검출","불검출","적합"
"7","냉동명태","러시아","2019-08-06","22,200","불검출","불검출","적합"
"8","냉동명태(F)","러시아","2019-08-06","13,200","불검출","불검출","적합"
"9","냉동꽁치","대만","2019-08-06","124,119","불검출","불검출","적합"
"10","냉동가자미(각시가자미)","러시아","2019-08-06","21,636","불검출","불검출","적합"
"합계","","-","-","398,283","-","-","-"
