"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 121건","","","","164,307","","",""
"1","마요네즈","시즈오카현","2019-07-01","840","불검출","불검출","적합"
"2","유탕면","후쿠오카현","2019-05-08","422","불검출","불검출","적합"
"3","건면","후쿠오카현","2019-06-10","774","불검출","불검출","적합"
"4","기타가공품","사이타마현","2017-11-06","7","불검출","불검출","적합"
"5","액상차","후쿠오카현","2019-06-26","1,560","불검출","불검출","적합"
"6","과·채가공품","오카야마현","2019-05-15","9,600","불검출","불검출","적합"
"7","혼합제제","이바라키현","2019-06-20","180","불검출","불검출","적합"
"8","카레(커리)","니가타현","2019-06-08","132","불검출","불검출","적합"
"9","혼합제제","사이타마현","2019-07-10","48","불검출","불검출","적합"
"10","혼합제제","오카야마현","2019-07-17","210","불검출","불검출","적합"
"11","카레(커리)","니가타현","2019-06-13","1,980","불검출","불검출","적합"
"12","혼합제제","사이타마현","2019-07-09","32","불검출","불검출","적합"
"13","혼합제제","오카야마현","2019-07-11","300","불검출","불검출","적합"
"14","소스","사이타마현","2019-02-18","306","불검출","불검출","적합"
"15","향신료조제품","사이타마현","2019-06-22","99","불검출","불검출","적합"
