"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:100Bq/kg)","판정"
"84","전분가공품","효고현","2019-07-02","9,675","불검출","불검출","적합"
"85","소스","히로시마현","2019-05-21","1,416","불검출","불검출","적합"
"86","소스","후쿠오카현","2019-07-13","2,827","불검출","불검출","적합"
"87","과자","아이치현","2019-07-01","82","불검출","불검출","적합"
"88","효모식품","가나가와현","2019-04-30","750","불검출","불검출","적합"
"89","5'-이노신산이나
트륨","미에현","2019-02-13","50","불검출","불검출","적합"
"90","캔디류","아이치현","2019-07-05","224","불검출","불검출","적합"
"91","빵류","사이타마현","2019-07-09","11,232","불검출","불검출","적합"
"92","소스","히로시마현","2019-06-14","360","불검출","불검출","적합"
"93","볶은커피","미에현","2019-05-19","27","불검출","불검출","적합"
"94","과자","니가타현","2019-07-08","86","불검출","불검출","적합"
"95","볶은커피","시즈오카현","2019-06-11","29","불검출","불검출","적합"
"96","볶은커피","시즈오카현","2019-06-05","19","불검출","불검출","적합"
"97","건면","나가노현","2019-05-08","180","불검출","불검출","적합"
"98","양조간장","효고현","2019-06-26","2,880","불검출","불검출","적합"
"99","카레(커리)","아이치현","2019-06-26","1,800","불검출","불검출","적합"
"100","건면","나가노현","2019-05-23","150","불검출","불검출","적합"
"101","카레(커리)","니가타현","2019-05-31","1,298","불검출","불검출","적합"
"102","카레(커리)","니가타현","2019-05-30","2,486","불검출","불검출","적합"
"103","카레(커리)","니가타현","2019-05-31","1,188","불검출","불검출","적합"
"104","카레(커리)","니가타현","2019-05-29","2,486","불검출","불검출","적합"
"105","카레(커리)","니가타현","2019-05-28","720","불검출","불검출","적합"
"106","카레(커리)","니가타현","2019-05-27","360","불검출","불검출","적합"
"107","카레(커리)","니가타현","2019-05-27","720","불검출","불검출","적합"
"108","과실주","아이치현","2019-06-24","1,080","불검출","불검출","적합"
"109","α-시클로덱스트린","후쿠오카현","2018-05-01","10","불검출","불검출","적합"
"110","빵류","사가현","2019-07-19","120","불검출","불검출","적합"
"111","빵류","사가현","2019-07-17","120","불검출","불검출","적합"
"112","합성향료","사이타마현","2019-05-20","306","불검출","불검출","적합"
"113","혼합제제","시가현","2019-07-16","25","불검출","불검출","적합"
"114","혼합제제","시가현","2019-07-24","25","불검출","불검출","적합"
"115","혼합제제","시가현","2019-07-12","25","불검출","불검출","적합"
"116","혼합제제","시가현","2019-07-09","25","불검출","불검출","적합"
"117","혼합제제","시가현","2019-07-12","25","불검출","불검출","적합"
