"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉동갈치","아랍에미리트연합","2019-05-15","23,996","불검출","불검출","적합"
"2","냉동고둥(갯고둥,자숙)","중국","2019-05-15","2,500","불검출","불검출","적합"
"3","냉동명태(F)","러시아","2019-05-15","20,358","불검출","불검출","적합"
"4","냉동곤이(대구)","러시아","2019-05-15","296","불검출","불검출","적합"
"5","냉동어란(대구알)","러시아","2019-05-15","129","불검출","불검출","적합"
"6","냉동가자미(첨치가자미,F)","미국","2019-05-15","10,000","불검출","불검출","적합"
"7","냉동어란(명란)","러시아","2019-05-15","6,042","불검출","불검출","적합"
"8","냉동꽁치","대만","2019-05-15","200,127","불검출","불검출","적합"
"9","냉동가자미(각시가자미)","러시아","2019-05-15","22,266","불검출","불검출","적합"
"10","냉동가자미(각시가자미)","러시아","2019-05-15","22,050","불검출","불검출","적합"
"11","냉동명태(F)","러시아","2019-05-15","24,000","불검출","불검출","적합"
"합계","","-","-","331,764","-","-","-"
