"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","126,052","-","-","-"
"1","염장어란
(연어알,캐비아대용)","홋카이도","2016-07-19","100","불검출","불검출","적합"
"2","활돔(참돔)","에히메현","2016-07-19","1,566","불검출","불검출","적합"
"3","활돔(참돔)","오이타현","2016-07-19","5,708","불검출","불검출","적합"
"4","활돔(참돔)","에히메현","2016-07-19","2,492","불검출","불검출","적합"
"5","활백합
(비너스백합)","홋카이도","2016-07-19","12,000","불검출","불검출","적합"
"6","활백합
(비너스백합)","홋카이도","2016-07-19","6,840","불검출","불검출","적합"
"7","활가리비","홋카이도","2016-07-19","13,720","불검출","불검출","적합"
"8","냉장갈치","오이타현","2016-07-19","310","불검출","불검출","적합"
"9","냉장갈치","와카야마현","2016-07-19","1,336","불검출","불검출","적합"
"10","냉장홍어","홋카이도","2016-07-19","12,900","불검출","불검출","적합"
"11","냉장갈치","오이타현","2016-07-19","245","불검출","불검출","적합"
"12","냉장병어","오카야마현","2016-07-19","220","불검출","불검출","적합"
"13","활가리비","홋카이도","2016-07-19","13,965","불검출","불검출","적합"
"14","활돔(강담돔)","에히메현","2016-07-19","1,193","불검출","불검출","적합"
"15","활돔(돌돔)","나가사키현","2016-07-19","520","불검출","불검출","적합"
"16","활가리비","홋카이도","2016-07-19","7,000","불검출","불검출","적합"
