"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","54,590","-","-","-"
"1","활가리비","홋카이도","2016-07-18","7,000","불검출","불검출","적합"
"2","냉장명태","홋카이도","2016-07-18","3,328","불검출","불검출","적합"
"3","냉장갈치","와카야마현","2016-07-18","592","불검출","불검출","적합"
"4","냉장명태","홋카이도","2016-07-18","1,236","불검출","불검출","적합"
"5","활가리비","홋카이도","2016-07-18","6,988","불검출","불검출","적합"
"6","활가리비","홋카이도","2016-07-18","7,778","불검출","불검출","적합"
"7","냉장갈치","와카야마현","2016-07-18","416","불검출","불검출","적합"
"8","활장어(먹장어)","후쿠오카현","2016-07-18","1,327","불검출","불검출","적합"
"9","냉동꼴뚜기
(흰꼴뚜기)","가고시마현","2016-07-18","1,100","불검출","불검출","적합"
"10","활장어(먹장어)","야마구치현","2016-07-18","2,753","불검출","불검출","적합"
"11","냉동돔(참돔)","후쿠오카현","2016-07-18","15,030","불검출","불검출","적합"
"12","활가리비","홋카이도","2016-07-18","7,042","불검출","불검출","적합"
