"순번","품    목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","113,535","-","-","-"
"1","냉동대구","러시아","2016-07-19","4,848","불검출","불검출","적합"
"2","냉동대구(목살)","러시아","2016-07-19","8,660","불검출","불검출","적합"
"3","냉동대구","러시아","2016-07-19","81,752","불검출","불검출","적합"
"4","냉동가자미
(까지가자미)","러시아","2016-07-19","10,000","불검출","불검출","적합"
"5","냉동명태(F)","러시아","2016-07-19","8,275","불검출","불검출","적합"
