"순 번","품목명","제조·생산지","유통기한
(포장일자)","중량(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","","","6,620","","",""
"1","차가버섯","러시아연방","-
(2016-10-01)","6,500","44","불검출","적합"
"2","차가버섯(건조)","벨라루스","-
(2017-02-10)","120","11","불검출","적합"
