"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","88,724","-","-","-"
"1","활돔(참돔)","에히메현","2017-03-14","5026","불검출","불검출","적합"
"2","활돔(벵에돔)","오이타현","2017-03-14","1392","불검출","불검출","적합"
"3","활돔(참돔)","에히메현","2017-03-14","16578","불검출","불검출","적합"
"4","활가리비","홋카이도","2017-03-14","7000","불검출","불검출","적합"
"5","활대합(북방대합)","홋카이도","2017-03-14","984","불검출","불검출","적합"
"6","활가리비","홋카이도","2017-03-14","7000","불검출","불검출","적합"
"7","냉장명태","홋카이도","2017-03-14","1344","불검출","불검출","적합"
"8","냉장갈치","후쿠오카현","2017-03-14","1680","불검출","불검출","적합"
"9","활가리비","홋카이도","2017-03-14","6911","불검출","불검출","적합"
"10","냉장명태","홋카이도","2017-03-14","1320","불검출","불검출","적합"
"11","냉장갈치","후쿠오카현","2017-03-14","376","불검출","불검출","적합"
"12","냉장명태","홋카이도","2017-03-14","5213","불검출","불검출","적합"
"13","냉장명태","홋카이도","2017-03-14","1350","불검출","불검출","적합"
"14","냉장명태","홋카이도","2017-03-14","5226","불검출","불검출","적합"
"15","냉장명태","홋카이도","2017-03-14","1360","불검출","불검출","적합"
"16","냉장홍어","홋카이도","2017-03-14","262","불검출","불검출","적합"
