"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"5","냉동고등어","대만","2018-02-07","70,500","불검출","불검출","적합"
"6","냉동명태","러시아","2018-02-07","24,000","불검출","불검출","적합"
"7","냉동명태","러시아","2018-02-07","242,542","불검출","불검출","적합"
"8","냉동가자미","러시아","2018-02-07","19,329","불검출","불검출","적합"
"9","냉동명태(F)","미국","2018-02-07","10,000","불검출","불검출","적합"
"10","냉동다랑어(남방참다랑어,목살)","호주","2018-02-07","254","불검출","불검출","적합"
"11","냉동곤이(명태)","러시아","2018-02-07","11,812","불검출","불검출","적합"
"12","냉동대구(F)","러시아","2018-02-07","3,600","불검출","불검출","적합"
"13","냉동갈치","소말리아","2018-02-07","6,240","불검출","불검출","적합"
"14","냉동가자미(각시가자미)","러시아","2018-02-07","23,000","불검출","불검출","적합"
"15","냉동고등어","중국","2018-02-07","48,000","불검출","불검출","적합"
"합계","","-","-","526,189","-","-","-"
