"품목","계","","농산물","","가공식품","","건강기능식품","","식품첨가물",""
"접수
일자","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏)",""
"합계","629","2,660,717","10","1,758","487","2,539,642","3","1,086","129","118,231"
"1.29","80","937,199","0","0","56","920,273","0","0","24","16,926"
"1.30","106","247,629","0","0","83","229,755","1","184","22","17,690"
"1.31","104","468,665","0","0","86","451,665","0","0","18","17,000"
"2.1","150","545,114","0","0","130","509,987","1","284","19","34,843"
"2.2","189","462,110","10","1,758","132","427,962","1","618","46","31,772"
