"검사결과
수입
제조일자","","","","","","",""
"순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"178","카레(커리)","도치기현","2017-09-14","1,366","불검출","불검출","적합"
"179","카레(커리)","나라현","2017-10-24","600","불검출","불검출","적합"
"180","카레(커리)","나라현","2017-11-28","1,600","불검출","불검출","적합"
"181","가공두부","후쿠오카현","2018-01-19","2,151","불검출","불검출","적합"
"182","커피","사이타마현","2017-10-03","54","불검출","불검출","적합"
"183","커피","사이타마현","2017-10-03","105","불검출","불검출","적합"
"184","커피","시즈오카현","2017-12-05","1,075","불검출","불검출","적합"
"185","커피","시즈오카현","2017-12-04","6,000","불검출","불검출","적합"
"186","소스","지바현","2017-12-07","6,102","불검출","불검출","적합"
"187","초콜릿가공품","훗카이도","2017-12-06","278","불검출","불검출","적합"
"188","고형차","지바현","2016-12-07","120","불검출","불검출","적합"
"189","혼합제제","도쿄도","2018-01-12","300","불검출","불검출","적합"
