"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 189건","","","","462,110","","",""
"1","클로렐라 제품","교토부","2018-01-15","618","불검출","불검출","적합"
"2","혼합제제","시가현","2018-01-16","25","불검출","불검출","적합"
"3","혼합제제","시가현","2018-01-15","25","불검출","불검출","적합"
"4","혼합제제","시가현","2018-01-17","25","불검출","불검출","적합"
"5","혼합제제","시가현","2018-01-18","50","불검출","불검출","적합"
"6","혼합제제","도쿄도","2017-11-17","1,200","불검출","불검출","적합"
"7","혼합제제","사이타마현","2018-01-19","90","불검출","불검출","적합"
"8","혼합제제","효고현","2018-01-23","10","불검출","불검출","적합"
"9","과자(웨이퍼)","이바라키현","2017-11-29","26,496","불검출","불검출","적합"
"10","기타 주류","야마구치현","2017-12-20","12,600","불검출","불검출","적합"
"11","혼합제제","오카야마현","2018-01-15","1,500","불검출","불검출","적합"
"12","기타천연착향료","오카야마현","2018-01-12","120","불검출","불검출","적합"
"13","기타천연착향료","오카야마현","2018-01-12","30","불검출","불검출","적합"
