"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 107건","","","","794,039","","",""
"1","청주","히로시마현","2017-11-08","756","불검출","불검출","적합"
"2","청주","히로시마현","2017-11-08","108","불검출","불검출","적합"
"3","청주","후쿠이현","2017-12-13","173","불검출","불검출","적합"
"4","청주","니가타현","2017-12-04","1,296","불검출","불검출","적합"
"5","청주","니가타현","2017-12-05","173","불검출","불검출","적합"
"6","청주","효고현","2017-12-18","2,400","불검출","불검출","적합"
"7","청주","효고현","2017-12-11","720","불검출","불검출","적합"
"8","청주","야마가타현","2017-12-13","173","불검출","불검출","적합"
"9","청주","효고현","2017-12-08","270","불검출","불검출","적합"
"10","청주","효고현","2017-12-21","5,400","불검출","불검출","적합"
"11","청주","효고현","2017-11-01","115","불검출","불검출","적합"
"12","청주","효고현","2017-12-15","12,000","불검출","불검출","적합"
"13","청주","교토부","2017-10-26","360","불검출","불검출","적합"
