"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉동꽁치","대만","2017-11-15","22,050","불검출","불검출","적합"
"2","냉동가자미(각시가자미)","러시아","2017-11-15","22,050","불검출","불검출","적합"
"3","냉동명태","러시아","2017-11-15","24,000","불검출","불검출","적합"
"4","냉동가자미(각시가자미)","러시아","2017-11-15","22,050","불검출","불검출","적합"
"5","냉동고등어(F)","중국","2017-11-15","2,684","불검출","불검출","적합"
"6","냉동꽁치","대만","2017-11-15","107,852","불검출","불검출","적합"
"7","냉동명태(F)","러시아","2017-11-15","7,910","불검출","불검출","적합"
"8","냉동고등어(F)","한국","2017-11-15","23,000","불검출","불검출","적합"
"9","냉동상어(청상아리)","대만","2017-11-15","7,727","불검출","불검출","적합"
"10","냉동꽁치","대만","2017-11-15","48,508","불검출","불검출","적합"
"11","냉동가자미(각시가자미)","러시아","2017-11-15","22,050","불검출","불검출","적합"
"12","냉동명태(F)","러시아","2017-11-15","9,930","불검출","불검출","적합"
"13","냉동가자미(각시가자미)","러시아","2017-11-15","22,050","불검출","불검출","적합"
"14","냉동꽁치","대만","2017-11-15","18,747","불검출","불검출","적합"
"15","냉동가자미(각시가자미)","러시아","2017-11-15","22,500","불검출","불검출","적합"
"16","냉동꽁치","대만","2017-11-15","44,750","불검출","불검출","적합"
"17","냉동다랑어(눈다랑어)","마이크로네시아","2017-11-15","49,972","불검출","불검출","적합"
"합계","","-","-","477,830","-","-","-"
