"순 번","품목명","제조·생산지","제조일자","중량(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"56","소주","효고현","2014-06-17","86.4","불검출","불검출","적합"
"57","과자(스낵과자)","니가타현","2014-09-26","408","불검출","불검출","적합"
"58","혼합제제","효고현","2014-09-24","102","불검출","불검출","적합"
"59","혼합제제","효고현","2014-09-18","34","불검출","불검출","적합"
"60","혼합제제","효고현","2014-09-22","34","불검출","불검출","적합"
"61","혼합제제","효고현","2014-09-17","68","불검출","불검출","적합"
"62","청주","후쿠이현","2014-09-01","86.4","불검출","불검출","적합"
"63","과자(스낵과자)","니가타현","2014-09-25","193.8","불검출","불검출","적합"
"64","청주","후쿠이현","2014-09-01","60","불검출","불검출","적합"
"65","청주","후쿠이현","2014-09-01","86.4","불검출","불검출","적합"
"66","청주","후쿠이현","2014-09-01","21.6","불검출","불검출","적합"
"67","청주","미에현","2014-09-01","172.8","불검출","불검출","적합"
"68","청주","고치현","2014-09-01","172.8","불검출","불검출","적합"
"69","소스류","시가현","2014-09-25","20,175","불검출","불검출","적합"
"70","식초절임","나가노현","2014-09-22","300","불검출","불검출","적합"
"71","과자(스낵과자)","니가타현","2014-09-26","561","불검출","불검출","적합"
"72","청주","효고현","2014-09-01","2,700","불검출","불검출","적합"
"73","인스턴트커피","시즈오카현","2014-08-22","5,000","불검출","불검출","적합"
"74","볶은커피","미에현","2014-08-06","270","불검출","불검출","적합"
"75","맥주","후쿠오카현","2014-09-09","279,360","불검출","불검출","적합"
"76","과자(웨이퍼)","오사카부","2014-09-24","248","불검출","불검출","적합"
"77","초콜릿가공품","사이타마현","2014-08-01","1,149.12","불검출","불검출","적합"
"78","초콜릿가공품","시가현","2014-06-01","230.4","불검출","불검출","적합"
"79","과자(스낵과자)","효고현","2014-09-11","414","불검출","불검출","적합"
"80","고구마전분","가고시마현","2013-11-30","111,000","불검출","불검출","적합"
