"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉동가자미(각시가자미)","러시아","2017-05-25","22,500","불검출","불검출","적합"
"2","냉동꽁치","중국","2017-05-25","23,030","불검출","불검출","적합"
"3","냉동명태","러시아","2017-05-25","26,543","불검출","불검출","적합"
"4","냉동곤이(명태)","러시아","2017-05-25","10,957","불검출","불검출","적합"
"5","냉동가자미(각시가자미)","러시아","2017-05-25","22,500","불검출","불검출","적합"
"6","냉동명태(F)","러시아","2017-05-25","18,750","불검출","불검출","적합"
"7","냉동가자미(각시가자미)","러시아","2017-05-25","17,100","불검출","불검출","적합"
"8","냉동곤이(명태)","러시아","2017-05-25","38,160","불검출","불검출","적합"
"9","냉동문어","모리타니","2017-05-25","23,982","불검출","불검출","적합"
"10","냉동다랑어(참다랑어,턱살)","크로아티아","2017-05-25","931","불검출","불검출","적합"
"합계","","-","-","204,453","-","-","-"
