"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 156건","","","","1,122,661","","",""
"1","곡류가공품","아이치현","2018-12-03","38","불검출","불검출","적합"
"2","청주","교토부","2018-10-30","1,800","불검출","불검출","적합"
"3","청주","교토부","2018-11-05","432","불검출","불검출","적합"
"4","양념젓갈","가나가와현","2018-10-09","54","불검출","불검출","적합"
"5","청주","교토부","2018-11-14","216","불검출","불검출","적합"
"6","소스","후쿠오카현","2018-11-05","680","불검출","불검출","적합"
"7","소스","후쿠오카현","2018-11-12","3,706","불검출","불검출","적합"
"8","소스","후쿠오카현","2018-11-12","211","불검출","불검출","적합"
"9","곡류가공품","효고현","2018-11-20","2,410","불검출","불검출","적합"
"10","빵류","야마나시현","2018-11-24","169","불검출","불검출","적합"
"11","빵류","야마나시현","2018-09-06","34","불검출","불검출","적합"
"12","빵류","야마나시현","2018-11-17","234","불검출","불검출","적합"
"13","고추냉이/신선,냉장","도쿄도","2018-11-29","40","불검출","불검출","적합"
"14","즉석조리식품","나가노현","2018-11-21","384","불검출","불검출","적합"
