"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 57건","","","","768,131","","",""
"1","어묵","시마네현","2018-11-01","4,048","불검출","불검출","적합"
"2","청주","아키타현","2018-10-23","43","불검출","불검출","적합"
"3","과자","니가타현","2018-11-17","738","불검출","불검출","적합"
"4","양조간장","지바현","2018-11-08","1,264","불검출","불검출","적합"
"5","과자","도야마현","2018-11-08","42","불검출","불검출","적합"
"6","카레(커리)","나가노현","2018-10-16","6,600","불검출","불검출","적합"
"7","카레(커리)","니가타현","2018-11-02","800","불검출","불검출","적합"
"8","합성향료","오카야마현","2018-11-22","120","불검출","불검출","적합"
"9","혼합제제","사이타마현","2018-11-20","198","불검출","불검출","적합"
"10","합성향료","사이타마현","2018-11-27","396","불검출","불검출","적합"
"11","혼합제제","오사카부","2018-11-24","400","불검출","불검출","적합"
"12","혼합제제","히로시마현","2018-11-21","105","불검출","불검출","적합"
"13","맥주","후쿠오카현","2018-10-19","655,368","불검출","불검출","적합"
