"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건15","-","-","107,562","-","-","-"
"1","활가리비","홋카이도","2015-09-25","7,000","불검출","불검출","적합"
"2","냉동다랑어
(
눈다랑어목살횟감
,
,
)","태평양","2015-09-25","5,320","불검출","불검출","적합"
"3","냉동상어
(
청상아리
,F)","태평양","2015-09-25","3,055","불검출","불검출","적합"
"4","냉동다랑어
(
눈다랑어 횟감
,F,
)","태평양","2015-09-25","2,219","불검출","불검출","적합"
"5","활우렁쉥이","홋카이도","2015-09-25","18,871","불검출","불검출","적합"
"6","냉동다랑어 눈다(
랑어 목살,
)","태평양","2015-09-25","1,530","불검출","불검출","적합"
"7","활우렁쉥이","홋카이도","2015-09-25","9,946","불검출","불검출","적합"
"8","활가리비","홋카이도","2015-09-25","6,825","불검출","불검출","적합"
"9","활우렁쉥이","홋카이도","2015-09-25","9,756","불검출","불검출","적합"
"10","냉장명태","홋카이도","2015-09-25","4,290","불검출","불검출","적합"
"11","냉장명태","홋카이도","2015-09-25","4,277","불검출","불검출","적합"
"12","활우렁쉥이","홋카이도","2015-09-25","17,536","불검출","불검출","적합"
"13","활우렁쉥이","홋카이도","2015-09-25","8,479","불검출","불검출","적합"
"14","활가리비","홋카이도","2015-09-25","6,897","불검출","불검출","적합"
"15","활돔 벵에돔
(
)","사가현","2015-09-25","1,561","불검출","불검출","적합"
