"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","","-","-","190,250.5","-","-","-"
"1","냉동명태(F)","러시아","2016-05-25","23,115","불검출","불검출","적합"
"2","냉동상어
(
청상아리
)","대만","2016-05-25","2,157","불검출","불검출","적합"
"3","냉동다랑어
(
눈다랑어
)","중국","2016-05-25","19,464","불검출","불검출","적합"
"4","냉동가자미
(
각시가자미
)","러시아","2016-05-25","46,000","불검출","불검출","적합"
"5","냉동명태(F)","러시아","2016-05-25","21,600","불검출","불검출","적합"
"6","냉동곤이 명태(
)","러시아","2016-05-25","3,645","불검출","불검출","적합"
"7","냉동곤이 명태(
)","러시아","2016-05-25","48,488","불검출","불검출","적합"
"8","냉동가자미
(
각시가자미
)","러시아","2016-05-25","21,500","불검출","불검출","적합"
"9","냉동상어
(
청상아리
)","대만","2016-05-25","3,827","불검출","불검출","적합"
"10","냉동다랑어
(
눈다랑어 목살
,
)","대만","2016-05-25","454.5","불검출","불검출","적합"
