"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"14","당류가공품","교토부","2016-04-26","75","불검출","불검출","적합"
"15","당류가공품","교토부","2016-04-27","72","불검출","불검출","적합"
"16","볶은커피","지바현","2016-03-30","152","불검출","불검출","적합"
"17","당류가공품","교토부","2016-04-27","65","불검출","불검출","적합"
"18","청주","효고현","2016-04-19","540","불검출","불검출","적합"
"19","청주","효고현","2016-04-11","432","불검출","불검출","적합"
"20","곡류가공품","오사카부","2016-04-25","400","불검출","불검출","적합"
"21","소스류","도치기현","2016-05-05","126","불검출","불검출","적합"
"22","청주","지바현","2016-04-14","216","불검출","불검출","적합"
"23","국수","시즈오카현","2016-03-01","1,086","불검출","불검출","적합"
"24","어묵","시마네현","2016-03-30","600","불검출","불검출","적합"
"25","프로테아제(곰팡이
성:SAP)","아이치현","2016-03-24","401","불검출","불검출","적합"
"26","청주","효고현","2016-04-18","2,400","불검출","불검출","적합"
"27","청주","효고현","2016-03-21","864","불검출","불검출","적합"
"28","과자(스낵과자)","아이치현","2016-04-27","106","불검출","불검출","적합"
"29","고형차","효고현","2016-05-10","2,400","불검출","불검출","적합"
"30","청주","지바현","2016-04-14","708","불검출","불검출","적합"
"31","소스류","훗카이도","2016-03-29","372","불검출","불검출","적합"
"32","청주","시즈오카현","2016-04-20","259","불검출","불검출","적합"
"33","즉석조리식품","지바현","2016-04-06","46","불검출","불검출","적합"
"34","액상차","미에현","2016-04-04","1,200","불검출","불검출","적합"
"35","튀김식품","오이타현","2016-04-26","1,000","불검출","불검출","적합"
"36","소주","오이타현","2016-03-10","367","불검출","불검출","적합"
"37","농산물조림","야마가타현","2016-03-12","1,200","불검출","불검출","적합"
"38","카레","나가노현","2016-04-14","2,700","불검출","불검출","적합"
"39","건어포류","효고현","2016-04-22","360","불검출","불검출","적합"
"40","기타천연착향료","오카야마현","2016-04-28","195","불검출","불검출","적합"
"41","양조간장","아이치현","2016-04-22","1,296","불검출","불검출","적합"
"42","소스류","군마현","2016-03-24","2,340","불검출","불검출","적합"
"43","프로테아제(세균성)","효고현","2016-03-25","126","불검출","불검출","적합"
"44","기타천연착향료","오카야마현","2016-04-25","180","불검출","불검출","적합"
"45","곡류가공품","시즈오카현","2016-04-07","1,000","불검출","불검출","적합"
"46","소스류","히로시마현","2016-04-01","264","불검출","불검출","적합"
"47","소스류","히로시마현","2016-04-20","396","불검출","불검출","적합"
