"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","56,778","-","-","-"
"1","냉동멸치","가나가와현","2016-05-26","24,000","불검출","불검출","적합"
"2","냉장갈치","에히메현","2016-05-26","480","불검출","불검출","적합"
"3","냉장가오리","야마구치현","2016-05-26","110","불검출","불검출","적합"
"4","냉장대구","홋카이도","2016-05-26","240","불검출","불검출","적합"
"5","냉장홍어","홋카이도","2016-05-26","2,911","불검출","불검출","적합"
"6","냉장명태","홋카이도","2016-05-26","3,913","불검출","불검출","적합"
"7","냉장대구","홋카이도","2016-05-26","132","불검출","불검출","적합"
"8","냉장홍어","홋카이도","2016-05-26","872","불검출","불검출","적합"
"9","활돔(돌돔)","나가사키현","2016-05-26","1,343","불검출","불검출","적합"
"10","활장어(먹장어)","후쿠오카현","2016-05-26","2,199","불검출","불검출","적합"
"11","냉장명태","홋카이도","2016-05-26","1,356","불검출","불검출","적합"
"12","냉장명태","홋카이도","2016-05-26","1,800","불검출","불검출","적합"
"13","냉장명태","홋카이도","2016-05-26","1,800","불검출","불검출","적합"
"14","냉장명태","홋카이도","2016-05-26","1,344","불검출","불검출","적합"
"15","냉장갈치","에히메현","2016-05-26","296","불검출","불검출","적합"
"16","냉장준치","구마모토현","2016-05-26","77","불검출","불검출","적합"
