"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 55건","","","","174,228","","",""
"1","혼합제제","가나가와현","2018-08-09","80","불검출","불검출","적합"
"2","혼합제제","가나가와현","2018-08-17","220","불검출","불검출","적합"
"3","소스","히로시마현","2018-07-25","1,835","불검출","불검출","적합"
"4","소스","히로시마현","2018-08-31","1,320","불검출","불검출","적합"
"5","캔디류","후쿠오카현","2018-07-14","4,500","불검출","불검출","적합"
"6","캔디류","후쿠오카현","2018-07-25","4,500","불검출","불검출","적합"
"7","캔디류","후쿠오카현","2018-07-31","4,500","불검출","불검출","적합"
"8","소스","히로시마현","2018-08-29","1,291","불검출","불검출","적합"
"9","복합조미식품","효고현","2018-08-29","1,000","불검출","불검출","적합"
"10","가공두부","오사카부","2018-09-10","6,000","불검출","불검출","적합"
"11","가공두부","오사카부","2018-09-10","12,000","불검출","불검출","적합"
"12","향신료조제품","도쿄도","2018-09-10","3,960","불검출","불검출","적합"
"13","소스","히로시마현","2018-08-31","1,832","불검출","불검출","적합"
"14","과자","이바라키현","2018-08-31","2,880","불검출","불검출","적합"
