"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","102건","","403,023","","",""
"1","야자유","가나가와현","2014-02-13","1,120","불검출","불검출","적합"
"2","청주","도야마현","2014-05-08","86.4","불검출","불검출","적합"
"3","청주","구마모토현","2014-05-12","86.4","불검출","불검출","적합"
"4","청주","구마모토현","2014-04-22","165.6","불검출","불검출","적합"
"5","가르시니아캄보지아추출물","시즈오카현","2014-05-21","1,587.6","불검출","불검출","적합"
"6","식물성크림","구마모토현","2014-04-24","24","불검출","불검출","적합"
"7","식물성크림","구마모토현","2014-04-26","19.2","불검출","불검출","적합"
"8","드레싱","사가현","2014-04-18","7,200","불검출","불검출","적합"
"9","드레싱","오사카부","2014-04-22","270","불검출","불검출","적합"
"10","소스류","사가현","2014-02-13","270","불검출","불검출","적합"
"11","마요네즈","효고현","2014-05-20","300","불검출","불검출","적합"
"12","소스류","이바라키현","2014-04-10","45","불검출","불검출","적합"
"13","드레싱","도쿄도","2014-05-02","270","불검출","불검출","적합"
"14","드레싱","사이타마현","2014-05-12","45.6","불검출","불검출","적합"
"15","소스류","도쿄도","2014-05-15","90","불검출","불검출","적합"
"16","청주","효고현","2014-05-13","540","불검출","불검출","적합"
"17","청주","효고현","2014-05-07","108","불검출","불검출","적합"
"18","청주","효고현","2014-05-02","216","불검출","불검출","적합"
