"순 번","품목명","제조·생산지","제조일자","중량(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"69","혼합제제","오사카부","2014-05-29","30","불검출","불검출","적합"
"70","혼합제제","오사카부","2014-06-06","105","불검출","불검출","적합"
"71","혼합제제","오사카부","2014-06-03","60","불검출","불검출","적합"
"72","탄산수소암모늄","도야마현","2014-05-22","18,000","불검출","불검출","적합"
"73","혼합제제","효고현","2014-06-05","45","불검출","불검출","적합"
"74","혼합제제","효고현","2014-06-03","17","불검출","불검출","적합"
"75","혼합제제","효고현","2014-05-29","51","불검출","불검출","적합"
"76","혼합제제","효고현","2014-06-02","136","불검출","불검출","적합"
"77","키토산 제품","미야자키현","2014-05-30","500","불검출","불검출","적합"
"78","혼합제제","효고현","2014-06-05","68","불검출","불검출","적합"
"79","혼합제제","효고현","2014-05-30","102","불검출","불검출","적합"
"80","혼합제제","효고현","2014-05-29","136","불검출","불검출","적합"
"81","혼합제제","도쿄도","2014-05-20","15","불검출","불검출","적합"
"82","드레싱","사가현","2014-06-09","456","불검출","불검출","적합"
"83","장류절임","가고시마현","2014-06-04","360","불검출","불검출","적합"
"84","혼합제제","도쿄도","2014-05-20","15","불검출","불검출","적합"
"85","가공두부","후쿠오카현","2014-06-04","2,669","불검출","불검출","적합"
"86","알가공품","가고시마현","2014-04-27","288","불검출","불검출","적합"
"87","혼합제제","사이타마현","2014-05-23","35","불검출","불검출","적합"
"88","혼합제제","사이타마현","2014-03-03","48","불검출","불검출","적합"
"89","혼합제제","사이타마현","2014-04-25","140","불검출","불검출","적합"
"90","혼합제제","사이타마현","2014-04-17","42","불검출","불검출","적합"
"91","혼합제제","사이타마현","2014-03-03","160","불검출","불검출","적합"
"92","혼합제제","사이타마현","2013-08-28","7","불검출","불검출","적합"
"93","혼합제제","사이타마현","2014-05-02","240","불검출","불검출","적합"
"94","혼합제제","사이타마현","2014-05-22","64","불검출","불검출","적합"
"95","혼합제제","사이타마현","2014-04-22","300","불검출","불검출","적합"
"96","발효식초","가고시마현","2013-10-31","100","불검출","불검출","적합"
"97","맥주","오이타현","2014-05-26","82,800","불검출","불검출","적합"
"98","맥주","오이타현","2014-05-21","29,040","불검출","불검출","적합"
"99","과자(스낵과자)","야마가타현","2014-06-02","4,053.27","불검출","불검출","적합"
"100","합성착향료","사이타마현","2014-06-02","10","불검출","불검출","적합"
"101","볶은커피","지바현","2014-06-05","150","불검출","불검출","적합"
"102","볶은커피","지바현","2014-06-04","1,850","불검출","불검출","적합"
"103","혼합제제","오사카부","2014-06-03","56","불검출","불검출","적합"
"104","캔디류(사탕)","아이치현","2014-05-21","876","불검출","불검출","적합"
"105","캔디류(젤리)","아이치현","2014-05-09","306","불검출","불검출","적합"
"106","캔디류(사탕)","아이치현","2014-05-22","360","불검출","불검출","적합"
"107","혼합제제","이바라키현","2014-06-05","405","불검출","불검출","적합"
"108","혼합제제","이바라키현","2014-05-30","450","불검출","불검출","적합"
"109","혼합제제","이바라키현","2014-06-04","720","불검출","불검출","적합"
