"순 번","품목명","제조·생산지","제조일자","중량(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"19","조미건어포류","에히메현","2014-05-16","14","불검출","불검출","적합"
"20","청주","효고현","2014-05-23","1,044","불검출","불검출","적합"
"21","건어포류","효고현","2014-05-23","528","불검출","불검출","적합"
"22","수산물가공품","히로시마현","2014-05-16","24.08","불검출","불검출","적합"
"23","수산물가공품","히로시마현","2014-05-16","24.08","불검출","불검출","적합"
"24","수산물가공품","히로시마현","2014-05-16","12.8","불검출","불검출","적합"
"25","튀김식품","히로시마현","2014-05-16","10.56","불검출","불검출","적합"
"26","튀김식품","히로시마현","2014-05-14","156.6","불검출","불검출","적합"
"27","튀김식품","오이타현","2014-05-11","300","불검출","불검출","적합"
"28","냉면","효고현","2014-02-20","2,400","불검출","불검출","적합"
"29","수산물가공품","교토부","2014-05-16","60","불검출","불검출","적합"
"30","혼합제제","효고현","2014-05-27","15","불검출","불검출","적합"
"31","혼합제제","효고현","2014-05-22","75","불검출","불검출","적합"
"32","혼합제제","오사카부","2014-05-23","50","불검출","불검출","적합"
"33","혼합음료","오사카부","2014-05-28","14,850","불검출","불검출","적합"
"34","탄산음료","야마구치현","2014-04-21","453.6","불검출","불검출","적합"
"35","혼합제제","오사카부","2014-05-23","150","불검출","불검출","적합"
"36","소스류","가가와현","2014-04-28","366.12","불검출","불검출","적합"
"37","국수","구마모토현","2014-03-19","428.4","불검출","불검출","적합"
"38","국수","사이타마현","2014-05-14","410","불검출","불검출","적합"
"39","과자(스낵과자)","효고현","2014-05-22","540","불검출","불검출","적합"
"40","과자(스낵과자)","니가타현","2014-05-20","124.56","불검출","불검출","적합"
"41","식초절임","와카야마현","2014-05-16","72","불검출","불검출","적합"
"42","합성착향료","가나가와현","2014-05-15","2","불검출","불검출","적합"
"43","소스류","교토부","2014-05-22","10,115","불검출","불검출","적합"
"44","소스류","교토부","2014-05-22","4,172","불검출","불검출","적합"
"45","소스류","교토부","2014-05-17","4,940","불검출","불검출","적합"
"46","소스류","교토부","2014-04-24","135","불검출","불검출","적합"
"47","소스류","교토부","2014-05-17","2,470","불검출","불검출","적합"
"48","소스류","교토부","2014-05-24","2,358","불검출","불검출","적합"
"49","소스류","교토부","2014-05-22","1,048","불검출","불검출","적합"
"50","소스류","교토부","2014-05-22","405","불검출","불검출","적합"
"51","복합조미식품","교토부","2014-05-23","550","불검출","불검출","적합"
"52","소스류","교토부","2014-05-24","5,120","불검출","불검출","적합"
"53","소스류","교토부","2014-04-23","544","불검출","불검출","적합"
"54","소스류","교토부","2014-05-15","272","불검출","불검출","적합"
"55","소스류","교토부","2014-05-08","130","불검출","불검출","적합"
"56","소스류","교토부","2014-05-21","202","불검출","불검출","적합"
"57","소스류","교토부","2014-05-21","1,700","불검출","불검출","적합"
"58","소스류","교토부","2014-05-23","1,000","불검출","불검출","적합"
"59","백설탕","후쿠오카현","2014-04-07","400","불검출","불검출","적합"
"60","고형차","후쿠오카현","2014-05-23","100","불검출","불검출","적합"
"61","고형차","후쿠오카현","2014-04-23","15","불검출","불검출","적합"
"62","기타가공품","에히메현","2014-05-15","405","불검출","불검출","적합"
"63","곡류가공품","에히메현","2014-05-19","1,200","불검출","불검출","적합"
"64","혼합제제","군마현","2014-05-27","240","불검출","불검출","적합"
"65","곡류가공품","에히메현","2014-05-15","1,000","불검출","불검출","적합"
"66","전분가공품","에히메현","2014-05-16","5,600","불검출","불검출","적합"
"67","드레싱","지바현","2014-03-20","528","불검출","불검출","적합"
"68","소스류","에히메현","2014-05-19","1,800","불검출","불검출","적합"
