"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건11","-","-","647,684","-","-","-"
"1","냉동대구 목살(
)","러시아","2015-10-30","5,820","불검출","불검출","적합"
"2","냉동상어
(
흑기흉상어
)","대만","2015-10-30","12,233","불검출","불검출","적합"
"3","냉동꽁치","대만","2015-10-30","68,120","불검출","불검출","적합"
"4","냉동명태(F)","러시아","2015-10-30","23,000","불검출","불검출","적합"
"5","냉동대구(F)","러시아","2015-10-30","500","불검출","불검출","적합"
"6","냉동꽁치","대만","2015-10-30","134,105","불검출","불검출","적합"
"7","냉동꽁치","대만","2015-10-30","73,320","불검출","불검출","적합"
"8","냉동꽁치","대만","2015-10-30","68,632","불검출","불검출","적합"
"9","냉동꽁치","대만","2015-10-30","135,335","불검출","불검출","적합"
"10","냉동꽁치","대만","2015-10-30","105,119","불검출","불검출","적합"
"11","냉동가자미
(
각시가자미
)","러시아","2015-10-30","21,500","불검출","불검출","적합"
