"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 163건","","","","369,692","","",""
"1","소주","가고시마현","2017-12-21","144","불검출","불검출","적합"
"2","소주","가고시마현","2018-04-18","86","불검출","불검출","적합"
"3","소주","가고시마현","2018-05-09","173","불검출","불검출","적합"
"4","청주","야마가타현","2018-05-18","432","불검출","불검출","적합"
"5","청주","야마가타현","2018-05-17","259","불검출","불검출","적합"
"6","청주","이시카와현","2018-05-10","346","불검출","불검출","적합"
"7","청주","이시카와현","2018-05-15","173","불검출","불검출","적합"
"8","청주","이시카와현","2018-05-07","173","불검출","불검출","적합"
"9","청주","히로시마현","2018-04-09","72","불검출","불검출","적합"
"10","청주","히로시마현","2018-04-04","972","불검출","불검출","적합"
"11","캔디류","지바현","2018-04-19","106","불검출","불검출","적합"
"12","빵류","훗카이도","2018-05-31","648","불검출","불검출","적합"
"13","소주","가고시마현","2018-03-16","213","불검출","불검출","적합"
"14","가공두부","오사카부","2018-05-21","560","불검출","불검출","적합"
"15","곡류가공품","아이치현","2018-04-18","1,800","불검출","불검출","적합"
