"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 142건","","","","300,063","","",""
"1","카레(커리)","니가타현","2018-03-28","1,769","불검출","불검출","적합"
"2","카레(커리)","니가타현","2018-04-07","2,640","불검출","불검출","적합"
"3","카레(커리)","니가타현","2018-03-30","1,320","불검출","불검출","적합"
"4","카레(커리)","니가타현","2018-03-14","884","불검출","불검출","적합"
"5","청주","효고현","2018-05-24","2,160","불검출","불검출","적합"
"6","소주","미야자키현","2018-05-02","162","불검출","불검출","적합"
"7","청주","교토부","2018-05-21","8,100","불검출","불검출","적합"
"8","청주","효고현","2018-05-18","8,100","불검출","불검출","적합"
"9","청주","효고현","2018-05-14","1,500","불검출","불검출","적합"
"10","소주","미야자키현","2018-04-26","270","불검출","불검출","적합"
"11","소스","히로시마현","2018-04-19","708","불검출","불검출","적합"
"12","곡류가공품","시즈오카현","2018-03-20","1,000","불검출","불검출","적합"
"13","소스","히로시마현","2018-05-11","397","불검출","불검출","적합"
"14","숙면","가가와현","2018-05-21","1,500","불검출","불검출","적합"
"15","청주","이와테현","2018-05-18","108","불검출","불검출","적합"
