"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"35","냉장명태","홋카이도","2016-11-29","2,900","불검출","불검출","적합"
"36","냉장명태","홋카이도","2016-11-29","2,500","불검출","불검출","적합"
"37","냉장명태","홋카이도","2016-11-29","1,230","불검출","불검출","적합"
"38","냉장명태","홋카이도","2016-11-29","4,448","불검출","불검출","적합"
"39","냉장갈치","후쿠오카현","2016-11-29","655","불검출","불검출","적합"
"40","활대합(북방대합)","홋카이도","2016-11-29","100","불검출","불검출","적합"
"41","활우렁쉥이","홋카이도","2016-11-29","4,320","불검출","불검출","적합"
"42","활우렁쉥이","홋카이도","2016-11-29","2,867","불검출","불검출","적합"
"43","활우렁쉥이","홋카이도","2016-11-29","6,583","불검출","불검출","적합"
"44","활우렁쉥이","홋카이도","2016-11-29","3,010","불검출","불검출","적합"
"45","활우렁쉥이","홋카이도","2016-11-29","9,083","불검출","불검출","적합"
"46","활우렁쉥이","홋카이도","2016-11-29","6,234","불검출","불검출","적합"
"47","활우렁쉥이","홋카이도","2016-11-29","3,556","불검출","불검출","적합"
