"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","166,270","-","-","-"
"1","활돔(참돔)","고치현","2016-11-29","4,949","불검출","불검출","적합"
"2","활장어(먹장어)","나가사키현","2016-11-29","962","불검출","불검출","적합"
"3","활방어","에히메현","2016-11-29","5,083","불검출","불검출","적합"
"4","활돔(참돔)","에히메현","2016-11-29","3,910","불검출","불검출","적합"
"5","활돔(참돔)","고치현","2016-11-29","14,887","불검출","불검출","적합"
"6","활가리비","홋카이도","2016-11-29","7,163","불검출","불검출","적합"
"7","활우렁쉥이","홋카이도","2016-11-29","7,600","불검출","불검출","적합"
"8","활가리비","홋카이도","2016-11-29","800","불검출","불검출","적합"
"9","활가리비","홋카이도","2016-11-29","20","불검출","불검출","적합"
"10","냉동다랑어(눈다
랑어,목살)","태평양","2016-11-29","2,000","불검출","불검출","적합"
"11","냉동다랑어(남방
참다랑어,목살)","인도양","2016-11-29","150","불검출","불검출","적합"
"12","냉장홍어","홋카이도","2016-11-29","2,339","불검출","불검출","적합"
"13","냉동새치(황새치,
F,횟감)","태평양","2016-11-29","879","불검출","불검출","적합"
"14","냉동다랑어(눈다
랑어,F,횟감)","태평양","2016-11-29","569","불검출","불검출","적합"
"15","냉장갈치","후쿠오카현","2016-11-29","1,215","불검출","불검출","적합"
"16","냉장갈치","오이타현","2016-11-29","395","불검출","불검출","적합"
