"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","776,960.4","-","-","-"
"1","냉동대구","러시아","2016-11-24","81,227","불검출","불검출","적합"
"2","냉동상어
(흑기흉상어)","대만","2016-11-24","998","불검출","불검출","적합"
"3","냉동꽁치","대만","2016-11-24","94,907.2","불검출","불검출","적합"
"4","냉동꽁치","대만","2016-11-24","44,890","불검출","불검출","적합"
"5","냉동가자미
(각시가자미)","러시아","2016-11-24","22,500","불검출","불검출","적합"
"6","냉동다랑어
(황다랑어,F,횟감)","중국","2016-11-24","3,900","불검출","불검출","적합"
"7","냉동꽁치","대만","2016-11-24","45,060","불검출","불검출","적합"
"8","냉동명태(F)","러시아","2016-11-24","22,988","불검출","불검출","적합"
"9","냉동상어(귀상어)","중국","2016-11-24","11,800","불검출","불검출","적합"
"10","냉동가자미
(각시가자미)","러시아","2016-11-24","22,050","불검출","불검출","적합"
"11","냉동가자미
(각시가자미)","러시아","2016-11-24","22,500","불검출","불검출","적합"
"12","냉동꽁치","대만","2016-11-24","404,140.2","불검출","불검출","적합"
