"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","15건","-","-","1,413,546","-","-","-"
"1","냉동가자미(까지가자미) 미국","","2015-1-8","1,836","불검출","불검출","적합"
"2","냉동가자미(각시가자미) 미국","","2015-1-8","106,344","불검출","불검출","적합"
"3","냉동명태","러시아","2015-1-8","38,077","불검출","불검출","적합"
"4","냉동상어(흑기흉상어)","대만","2015-1-8","3,121","불검출","불검출","적합"
"5","냉동상어(청상아리)","대만","2015-1-8","709","불검출","불검출","적합"
"6","냉동명태","러시아","2015-1-8","674,219","불검출","불검출","적합"
"7","냉동가자미","러시아","2015-1-8","4,666","불검출","불검출","적합"
"8","냉동곤이(대구)","러시아","2015-1-8","2,100","불검출","불검출","적합"
"9","냉동곤이(대구)","러시아","2015-1-8","4,181","불검출","불검출","적합"
"10","냉동곤이(대구)","러시아","2015-1-8","5,400","불검출","불검출","적합"
"11","냉동꽁치","대만","2015-1-8","285,000","불검출","불검출","적합"
"12","냉동꽁치","대만","2015-1-8","234,736","불검출","불검출","적합"
"13","냉동가자미(각시가자미) 러시아","","2015-1-8","19,500","불검출","불검출","적합"
"14","냉동명태(F)","러시아","2015-1-8","15,517","불검출","불검출","적합"
"15","냉동새우(흰다리새우)","파나마","2015-1-8","18,140","불검출","불검출","적합"
