"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"13","빵류(케이크)","돗토리현","2014-12-01","780","불검출","불검출","적합"
"14","빵류(케이크)","돗토리현","2014-12-01","853","불검출","불검출","적합"
"15","소스류","후쿠오카현","2014-12-05","1,100","불검출","불검출","적합"
"16","된장","도쿠시마현","2014-12-02","96","불검출","불검출","적합"
"17","소스류","군마현","2014-11-13","960","불검출","불검출","적합"
"18","과자(비스킷)","니가타현","2014-11-17","145.2","불검출","불검출","적합"
"19","즉석조리식품","나가노현","2014-11-26","1,382.4","불검출","불검출","적합"
"20","일반증류주","시즈오카현","2014-11-19","17,204","불검출","불검출","적합"
"21","볶은커피","오사카부","2014-12-05","1,382.4","불검출","불검출","적합"
"22","맥주","오이타현","2014-12-06","49,680","불검출","불검출","적합"
"23","덱스트린","효고현","2014-11-23","1,000","불검출","불검출","적합"
"24","장류절임","미야자키현","2014-12-20","800","불검출","불검출","적합"
"25","혼합음료","사가현","2014-10-09","173","불검출","불검출","적합"
"26","자당지방산에스테
르","미에현","2014-11-04","3,600","불검출","불검출","적합"
"27","초콜릿가공품","후쿠오카현","2014-10-02","672","불검출","불검출","적합"
"28","자당지방산에스테
르","미에현","2014-11-04","3,600","불검출","불검출","적합"
"29","자당지방산에스테
르","미에현","2014-10-25","110","불검출","불검출","적합"
"30","폴리글리세린지방
산에스테르","미에현","2014-07-15","100","불검출","불검출","적합"
"31","자당지방산에스테
르","미에현","2014-12-11","1,500","불검출","불검출","적합"
"32","캔디류(캐러멜)","도치기현","2014-11-03","5,616","불검출","불검출","적합"
"33","캔디류(캐러멜)","도치기현","2014-11-18","6,204.06","불검출","불검출","적합"
"34","캔디류(캐러멜)","도치기현","2014-11-14","66.96","불검출","불검출","적합"
"35","폴리소르베이트80","와카야마현","2014-11-12","4,032","불검출","불검출","적합"
"36","폴리소르베이트20","와카야마현","2014-09-08","4,032","불검출","불검출","적합"
"37","준초콜릿","가나가와현","2014-10-10","268.8","불검출","불검출","적합"
"38","혼합제제","오사카부","2014-12-16","150","불검출","불검출","적합"
"39","화이트초콜릿","가나가와현","2014-11-07","2,016","불검출","불검출","적합"
"40","준초콜릿","가나가와현","2014-11-11","152","불검출","불검출","적합"
"41","기타코코아가공품","시즈오카현","2014-11-18","210","불검출","불검출","적합"
"42","코코아분말","가나가와현","2014-10-30","132","불검출","불검출","적합"
"43","소스류","지바현","2014-09-25","216","불검출","불검출","적합"
"44","가공유지","와카야마현","2014-11-01","306","불검출","불검출","적합"
"45","밀크초콜릿","가나가와현","2014-11-17","2,688","불검출","불검출","적합"
"46","맥주","오이타현","2014-12-06","16,560","불검출","불검출","적합"
"47","빵류(그외 빵류)","사가현","2014-12-06","4,999.05","불검출","불검출","적합"
"48","청주","도치기현","2014-12-10","921.6","불검출","불검출","적합"
"49","청주","도치기현","2014-12-11","3,844.8","불검출","불검출","적합"
"50","준초콜릿","에히메현","2014-10-17","112","불검출","불검출","적합"
