"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","17건","-","-","3,172,759","-","-","-"
"1","냉동새우(흰다리새우)","에콰도르","2015-1-7","21,600","불검출","불검출","적합"
"2","냉동가자미(까지가자미) 러시아","","2015-1-7","18,975","불검출","불검출","적합"
"3","냉동명태(F)","러시아","2015-1-7","9,710","불검출","불검출","적합"
"4","냉동대구(F)","러시아","2015-1-7","4,900","불검출","불검출","적합"
"5","냉동명태","러시아","2015-1-7","507,400","불검출","불검출","적합"
"6","냉동다랑어(눈다랑어,목살,횟감) 중국","","2015-1-7","2,740","불검출","불검출","적합"
"7","냉동꽁치","대만","2015-1-7","568,220","불검출","불검출","적합"
"8","냉동꽁치","대만","2015-1-7","479,332","불검출","불검출","적합"
"9","냉동꽁치","대만","2015-1-7","72,695","불검출","불검출","적합"
"10","냉동꽁치","대만","2015-1-7","332,503","불검출","불검출","적합"
"11","냉동꽁치","대만","2015-1-7","432,611","불검출","불검출","적합"
"12","냉동명태(F)","러시아","2015-1-7","12,672","불검출","불검출","적합"
"13","냉동고등어","중국","2015-1-7","24,000","불검출","불검출","적합"
"14","냉동꽁치","대만","2015-1-7","217,959","불검출","불검출","적합"
"15","냉동꽁치","대만","2015-1-7","344,273","불검출","불검출","적합"
"16","냉동꽁치","대만","2015-1-7","73,172","불검출","불검출","적합"
"17","냉동꽁치","대만","2015-1-7","49,997","불검출","불검출","적합"
