"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","10건","-","-","1,197,347","-","-","-"
"1","냉동곤이(대구)","러시아","2015-1-9","1,719","불검출","불검출","적합"
"2","냉동꽁치","대만","2015-1-9","65,810","불검출","불검출","적합"
"3","냉동꽁치","대만","2015-1-9","184,035","불검출","불검출","적합"
"4","냉동가자미(각시가자미) 러시아","","2015-1-9","21,300","불검출","불검출","적합"
"5","냉동꽁치","대만","2015-1-9","36,726","불검출","불검출","적합"
"6","냉동명태(F)","러시아","2015-1-9","24,000","불검출","불검출","적합"
"7","냉동꽁치","대만","2015-1-9","554,439","불검출","불검출","적합"
"8","냉동꽁치","대만","2015-1-9","89,838","불검출","불검출","적합"
"9","냉동꽁치","대만","2015-1-9","107,880","불검출","불검출","적합"
"10","냉동꽁치","대만","2015-1-9","111,600","불검출","불검출","적합"
