"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"13","카레","나가노현","2014-11-22","800","불검출","불검출","적합"
"14","카레","사이타마현","2014-11-14","200","불검출","불검출","적합"
"15","빵류(케이크)","히로시마현","2014-12-01","28.8","불검출","불검출","적합"
"16","빵류(카스텔라)","히로시마현","2014-12-01","104","불검출","불검출","적합"
"17","빵류(케이크)","히로시마현","2014-12-02","60","불검출","불검출","적합"
"18","청주","돗토리현","2014-12-05","122.4","불검출","불검출","적합"
"19","청주","돗토리현","2014-12-16","86.4","불검출","불검출","적합"
"20","청주","돗토리현","2014-12-16","216","불검출","불검출","적합"
"21","청주","돗토리현","2014-10-28","30","불검출","불검출","적합"
"22","청주","돗토리현","2014-11-26","36","불검출","불검출","적합"
"23","수산물가공품","히로시마현","2014-11-28","17.2","불검출","불검출","적합"
"24","수산물가공품","히로시마현","2014-11-28","27.52","불검출","불검출","적합"
"25","청주","시즈오카현","2014-11-18","43.2","불검출","불검출","적합"
"26","튀김식품","히로시마현","2014-11-27","58","불검출","불검출","적합"
"27","튀김식품","히로시마현","2014-11-29","15.84","불검출","불검출","적합"
"28","가공유지","오사카부","2014-12-12","480","불검출","불검출","적합"
"29","기타주류","가고시마현","2014-12-24","15,104","불검출","불검출","적합"
"30","청주","고치현","2014-12-01","172.8","불검출","불검출","적합"
"31","청주","나라현","2014-12-24","259.2","불검출","불검출","적합"
"32","청주","오카야마현","2014-12-01","206.1","불검출","불검출","적합"
"33","청주","야마가타현","2014-12-09","129.6","불검출","불검출","적합"
"34","청주","오카야마현","2014-12-01","36","불검출","불검출","적합"
"35","청주","고치현","2014-12-01","86.4","불검출","불검출","적합"
"36","청주","나라현","2014-12-18","352.8","불검출","불검출","적합"
"37","청주","고치현","2014-12-01","86.4","불검출","불검출","적합"
"38","청주","야마가타현","2014-12-12","216","불검출","불검출","적합"
"39","조미된장","아이치현","2014-06-13","7,000","불검출","불검출","적합"
"40","조미된장","아이치현","2014-11-25","7,000","불검출","불검출","적합"
"41","조미된장","아이치현","2014-11-26","8,000","불검출","불검출","적합"
"42","조미된장","아이치현","2014-12-09","2,700","불검출","불검출","적합"
"43","양념젓갈","가나가와현","2014-12-11","1,440","불검출","불검출","적합"
"44","수산물가공품","후쿠시마현","2014-12-12","3,000","불검출","불검출","적합"
"45","떡류","니가타현","2014-11-19","510","불검출","불검출","적합"
"46","떡류","니가타현","2014-11-29","4,000","불검출","불검출","적합"
"47","초콜릿가공품","효고현","2014-10-28","3,456","불검출","불검출","적합"
"48","혼합제제","오사카부","2014-12-12","920","불검출","불검출","적합"
"49","글리세린지방산에
스테르","미에현","2014-09-19","320","불검출","불검출","적합"
"50","과자(스낵과자)","니가타현","2014-12-13","102","불검출","불검출","적합"
"51","밀가루","후쿠오카현","2014-11-14","2,400","불검출","불검출","적합"
"52","캔디류(젤리)","가나가와현","2014-11-11","423.2","불검출","불검출","적합"
"53","캔디류(사탕)","가나가와현","2014-10-30","1,500.8","불검출","불검출","적합"
"54","기타천연착향료","오사카부","2014-12-10","150","불검출","불검출","적합"
