"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"55","맥주","후쿠오카현","2014-11-25","139,680","불검출","불검출","적합"
"56","맥주","후쿠오카현","2014-10-08","87,000","불검출","불검출","적합"
"57","혼합제제","와카야마현","2014-12-03","30","불검출","불검출","적합"
"58","청주","고치현","2014-12-17","84","불검출","불검출","적합"
"59","청주","고치현","2014-12-17","298.08","불검출","불검출","적합"
"60","청주","오이타현","2014-11-08","432","불검출","불검출","적합"
"61","혼합제제","시즈오카현","2014-11-19","60","불검출","불검출","적합"
"62","혼합제제","오사카부","2014-12-16","3,140","불검출","불검출","적합"
"63","alpha-아밀라아제(
비세균성)","가나가와현","2014-12-08","360","불검출","불검출","적합"
"64","맥주","후쿠오카현","2014-12-11","82,200","불검출","불검출","적합"
"65","당류가공품","후쿠오카현","2014-12-17","900","불검출","불검출","적합"
"66","복합조미식품","후쿠오카현","2014-12-19","1,200","불검출","불검출","적합"
"67","기타주류","야마구치현","2014-11-14","800","불검출","불검출","적합"
"68","기타주류","야마구치현","2014-11-25","1,200","불검출","불검출","적합"
"69","커피/건조","브라질","","18,000","불검출","불검출","적합"
"70","건어포류","에히메현","2014-12-18","160","불검출","불검출","적합"
"71","당류가공품","교토부","2014-12-12","198","불검출","불검출","적합"
"72","소스류","아이치현","2014-11-25","979.8","불검출","불검출","적합"
"73","과자(스낵과자)","미에현","2014-11-24","5,268.1","불검출","불검출","적합"
"74","과자(스낵과자)","미에현","2014-11-26","5,339.7","불검출","불검출","적합"
"75","당류가공품","교토부","2014-12-15","261","불검출","불검출","적합"
"76","당류가공품","교토부","2014-12-08","256.5","불검출","불검출","적합"
"77","당류가공품","교토부","2014-12-15","374.4","불검출","불검출","적합"
"78","당류가공품","교토부","2014-12-12","405","불검출","불검출","적합"
"79","소스류","효고현","2014-11-18","592.5","불검출","불검출","적합"
"80","당류가공품","교토부","2014-12-16","369","불검출","불검출","적합"
"81","소스류","훗카이도","2014-09-13","208","불검출","불검출","적합"
"82","카레","니가타현","2014-11-12","4,752","불검출","불검출","적합"
"83","카레","니가타현","2014-12-04","3,960","불검출","불검출","적합"
"84","복합조미식품","도치기현","2014-12-05","288","불검출","불검출","적합"
"85","향신료조제품(고추
냉이가공품)","사이타마현","2014-11-22","215","불검출","불검출","적합"
"86","즉석조리식품","히로시마현","2014-11-19","21.6","불검출","불검출","적합"
"87","과자(스낵과자)","미에현","2014-11-22","5,339.7","불검출","불검출","적합"
"88","과자(스낵과자)","미에현","2014-12-04","3,254.4","불검출","불검출","적합"
"89","밀크초콜릿","훗카이도","2014-12-24","1,402.5","불검출","불검출","적합"
"90","화이트초콜릿","훗카이도","2014-12-24","195","불검출","불검출","적합"
"91","밀크초콜릿","훗카이도","2014-12-24","757.5","불검출","불검출","적합"
"92","밀크초콜릿","훗카이도","2014-12-24","285","불검출","불검출","적합"
"93","화이트초콜릿","훗카이도","2014-12-24","397.5","불검출","불검출","적합"
"94","초콜릿","훗카이도","2014-12-24","70.2","불검출","불검출","적합"
"95","밀크초콜릿","훗카이도","2014-12-24","93.75","불검출","불검출","적합"
"96","초콜릿가공품","훗카이도","2014-12-24","97.2","불검출","불검출","적합"
"97","화이트초콜릿","훗카이도","2014-12-24","84","불검출","불검출","적합"
"98","초콜릿","훗카이도","2014-12-24","60","불검출","불검출","적합"
"99","초콜릿가공품","훗카이도","2014-12-24","204","불검출","불검출","적합"
"100","초콜릿가공품","훗카이도","2014-12-24","91.2","불검출","불검출","적합"
"101","초콜릿가공품","훗카이도","2014-12-24","118.8","불검출","불검출","적합"
