"순 번","품목명","제조·생산지","제조일자","중량(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"69","맥주","교토부","2014-05-21","201,600","불검출","불검출","적합"
"70","과자(한과류)","도쿠시마현","2014-06-01","540","불검출","불검출","적합"
"71","캔디류(젤리)","아이치현","2014-06-06","162.72","불검출","불검출","적합"
"72","즉석조리식품","가가와현","2014-04-24","4,992","불검출","불검출","적합"
"73","혼합제제","시즈오카현","2014-06-06","180","불검출","불검출","적합"
"74","캔디류(젤리)","아이치현","2014-06-06","135.6","불검출","불검출","적합"
"75","과자(스낵과자)","아이치현","2014-06-02","208.8","불검출","불검출","적합"
"76","기타천연착향료","시즈오카현","2014-05-30","60","불검출","불검출","적합"
"77","청주","후쿠오카현","2014-05-13","9,000","불검출","불검출","적합"
"78","청주","도치기현","2014-05-19","1,555.2","불검출","불검출","적합"
"79","과자(스낵과자)","아이치현","2014-06-05","414","불검출","불검출","적합"
"80","청주","교토부","2014-05-27","129.6","불검출","불검출","적합"
"81","청주","도치기현","2014-05-20","921.6","불검출","불검출","적합"
"82","청주","도치기현","2014-05-14","1,555.2","불검출","불검출","적합"
"83","과자(스낵과자)","아이치현","2014-06-06","234","불검출","불검출","적합"
"84","청주","도치기현","2014-05-22","2,332.8","불검출","불검출","적합"
"85","혼합음료","시즈오카현","2014-05-22","60.5","불검출","불검출","적합"
"86","기타천연착향료","시가현","2014-06-10","400","불검출","불검출","적합"
"87","혼합제제","시가현","2014-06-13","25","불검출","불검출","적합"
"88","혼합제제","시가현","2014-06-11","20","불검출","불검출","적합"
"89","소스류","에히메현","2014-06-10","621","불검출","불검출","적합"
"90","건어포류","에히메현","2014-06-04","96","불검출","불검출","적합"
"91","건어포류","에히메현","2014-06-09","892","불검출","불검출","적합"
"92","복합조미식품","에히메현","2014-06-02","1,584","불검출","불검출","적합"
"93","혼합제제","가나가와현","2014-05-23","10","불검출","불검출","적합"
"94","혼합제제","효고현","2014-06-11","85","불검출","불검출","적합"
"95","혼합제제","효고현","2014-06-10","204","불검출","불검출","적합"
"96","혼합제제","효고현","2014-06-04","17","불검출","불검출","적합"
"97","혼합제제","효고현","2014-06-13","34","불검출","불검출","적합"
"98","혼합제제","효고현","2014-05-28","30","불검출","불검출","적합"
"99","혼합제제","오카야마현","2014-05-29","100","불검출","불검출","적합"
"100","혼합제제","오카야마현","2014-06-06","20","불검출","불검출","적합"
"101","가공유지","오사카부","2014-06-11","480","불검출","불검출","적합"
"102","탄산수소암모늄","도야마현","2014-06-04","18,000","불검출","불검출","적합"
"103","발효식초","가고시마현","2014-05-09","270","불검출","불검출","적합"
"104","음료베이스","아이치현","2014-05-21","1,037","불검출","불검출","적합"
"105","된장","나가노현","2014-04-01","1,000","불검출","불검출","적합"
"106","식초절임","사이타마현","2014-05-24","30","불검출","불검출","적합"
"107","리큐르","후쿠오카현","2014-05-30","86.4","불검출","불검출","적합"
"108","청주","후쿠오카현","2014-06-01","540","불검출","불검출","적합"
"109","청주","후쿠오카현","2014-05-01","216","불검출","불검출","적합"
"110","재제소금(재제조소금)","오키나와현","2014-05-08","1,000","불검출","불검출","적합"
"111","소주","미야자키현","2014-05-27","108","불검출","불검출","적합"
"112","소주","구마모토현","2014-05-10","4.32","불검출","불검출","적합"
"113","가공두부","오사카부","2014-06-04","12,000","불검출","불검출","적합"
"114","청국장","가고시마현","2014-06-05","1,866","불검출","불검출","적합"
"115","기타가공품","이바라키현","2014-05-30","27,000","불검출","불검출","적합"
"116","당류가공품","후쿠오카현","2014-06-12","200","불검출","불검출","적합"
"117","복합조미식품","후쿠오카현","2014-06-13","400","불검출","불검출","적합"
"118","기타주류","야마구치현","2014-05-21","540","불검출","불검출","적합"
