"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"16","냉장명태","홋카이도","2017-02-13","1,320","불검출","불검출","적합"
"17","냉장명태","홋카이도","2017-02-13","1,164","불검출","불검출","적합"
"18","냉장명태","홋카이도","2017-02-13","1,500","불검출","불검출","적합"
"19","냉장명태","홋카이도","2017-02-13","1,800","불검출","불검출","적합"
"20","냉장갈치","후쿠오카현","2017-02-13","860","불검출","불검출","적합"
"21","냉장돔(황돔)","후쿠오카현","2017-02-13","64","불검출","불검출","적합"
"22","냉동갈치","오이타현","2017-02-13","19,170","불검출","불검출","적합"
"23","냉장홍어","야마구치현","2017-02-13","768","불검출","불검출","적합"
"24","냉장병어","야마구치현","2017-02-13","100","불검출","불검출","적합"
"25","냉장갈치","야마구치현","2017-02-13","200","불검출","불검출","적합"
"26","활가리비","홋카이도","2017-02-13","6,864","불검출","불검출","적합"
"27","활대합(북방대합)","홋카이도","2017-02-13","692","불검출","불검출","적합"
"28","활꼬막","사가현","2017-02-13","400","불검출","불검출","적합"
"29","냉동갈치","야마구치현","2017-02-13","8,000","불검출","불검출","적합"
"30","냉동새치(돛새치)","인도양","2017-02-13","472","불검출","불검출","적합"
"31","냉동새치(돛새치)","태평양","2017-02-13","4,001","불검출","불검출","적합"
"32","냉동상어
(청상아리,F)","대서양","2017-02-13","859","불검출","불검출","적합"
"33","냉동상어
(청상아리,F)","인도양","2017-02-13","337","불검출","불검출","적합"
"34","냉동상어
(청상아리,F)","태평양","2017-02-13","519","불검출","불검출","적합"
