"순 번","품목명","제조·생산지","제조일자","중량(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"19","유탕면류","도치기현","2014-03-23","115.2","불검출","불검출","적합"
"20","캔디류(캐러멜)","나라현","2014-04-21","300","불검출","불검출","적합"
"21","캔디류(캐러멜)","나라현","2014-04-21","492","불검출","불검출","적합"
"22","캔디류(캐러멜)","나라현","2014-04-17","660","불검출","불검출","적합"
"23","과자(비스킷)","니가타현","2014-04-01","201.6","불검출","불검출","적합"
"24","소스류","도쿄도","2014-02-05","180","불검출","불검출","적합"
"25","향신료조제품(고추냉이가공품)","사이타마현","2014-04-02","135","불검출","불검출","적합"
"26","빵류(케이크)","효고현","2014-04-18","6.45","불검출","불검출","적합"
"27","빵류(케이크)","효고현","2014-04-18","6.45","불검출","불검출","적합"
"28","빵류(케이크)","효고현","2014-04-18","6.45","불검출","불검출","적합"
"29","빵류(케이크)","효고현","2014-04-18","8.6","불검출","불검출","적합"
"30","서류가공품","히로시마현","2013-11-20","180","불검출","불검출","적합"
"31","청주","아키타현","2014-04-17","43.2","불검출","불검출","적합"
"32","청주","아키타현","2014-04-17","233.2","불검출","불검출","적합"
"33","청주","아키타현","2014-04-17","388.8","불검출","불검출","적합"
"34","청주","아키타현","2014-04-17","77.7","불검출","불검출","적합"
"35","청주","아키타현","2014-04-17","129.6","불검출","불검출","적합"
"36","식염절임","와카야마현","2013-04-02","5.89","불검출","불검출","적합"
"37","식염절임","와카야마현","2013-05-02","10.8","불검출","불검출","적합"
"38","청주","돗토리현","2014-04-16","30.24","불검출","불검출","적합"
"39","청주","돗토리현","2014-04-16","259.2","불검출","불검출","적합"
"40","청주","교토부","2014-04-16","19,353.6","불검출","불검출","적합"
"41","폴리아크릴산나트륨","효고현","2013-08-25","1,005","불검출","불검출","적합"
"42","액상커피","시가현","2014-03-12","3,300","불검출","불검출","적합"
"43","풀루란","오카야마현","2014-03-09","1,000","불검출","불검출","적합"
"44","트랜스글루코시다아제","시가현","2014-04-14","301","불검출","불검출","적합"
"45","프로테아제(곰팡이성:SAP)","아이치현","2014-03-26","21","불검출","불검출","적합"
"46","과자(비스킷)","이바라키현","2014-04-04","162","불검출","불검출","적합"
"47","과자(비스킷)","이바라키현","2014-04-14","345","불검출","불검출","적합"
"48","소스류","미에현","2014-04-11","430","불검출","불검출","적합"
"49","소스류","미에현","2014-03-07","350","불검출","불검출","적합"
"50","청주","니가타현","2014-04-02","25,920","불검출","불검출","적합"
"51","국수","사이타마현","2014-04-09","396.1","불검출","불검출","적합"
"52","국수","사이타마현","2014-04-09","314.5","불검출","불검출","적합"
"53","국수","사이타마현","2014-04-09","601.6","불검출","불검출","적합"
"54","국수","사이타마현","2014-04-09","647.5","불검출","불검출","적합"
"55","국수","사이타마현","2014-04-09","374","불검출","불검출","적합"
"56","국수","사이타마현","2014-04-09","410","불검출","불검출","적합"
"57","국수","사이타마현","2014-04-09","800","불검출","불검출","적합"
"58","글리세린지방산에스테르","효고현","2014-02-26","240","불검출","불검출","적합"
"59","수산물가공품","에히메현","2014-04-07","300","불검출","불검출","적합"
"60","청주","미에현","2014-04-01","140.4","불검출","불검출","적합"
"61","과자(스낵과자)","사이타마현","2013-11-22","1,256","불검출","불검출","적합"
"62","혼합제제","오사카부","2014-04-16","300","불검출","불검출","적합"
"63","DL-알라닌","이바라키현","2013-12-19","3,000","불검출","불검출","적합"
"64","자당지방산에스테르","시가현","2014-03-14","4,800","불검출","불검출","적합"
"65","자당지방산에스테르","시가현","2014-02-17","3,200","불검출","불검출","적합"
"66","혼합제제","오사카부","2014-04-22","720","불검출","불검출","적합"
"67","조미된장","나가노현","2014-04-04","10,000","불검출","불검출","적합"
"68","혼합제제","시즈오카현","2014-04-08","150","불검출","불검출","적합"
